OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,Democratic Party,ADAMS,Hillary Clinton / Tim Kaine,"96,558",3.47%,,
President/Vice President,Democratic Party,ALAMOSA,Hillary Clinton / Tim Kaine,"3,189",0.11%,,
President/Vice President,Democratic Party,ARAPAHOE,Hillary Clinton / Tim Kaine,"159,885",5.75%,,
President/Vice President,Democratic Party,ARCHULETA,Hillary Clinton / Tim Kaine,"2,500",0.09%,,
President/Vice President,Democratic Party,BACA,Hillary Clinton / Tim Kaine,283,0.01%,,
President/Vice President,Democratic Party,BENT,Hillary Clinton / Tim Kaine,590,0.02%,,
President/Vice President,Democratic Party,BOULDER,Hillary Clinton / Tim Kaine,"132,334",4.76%,,
President/Vice President,Democratic Party,BROOMFIELD,Hillary Clinton / Tim Kaine,"19,731",0.71%,,
President/Vice President,Democratic Party,CHAFFEE,Hillary Clinton / Tim Kaine,"4,888",0.18%,,
President/Vice President,Democratic Party,CHEYENNE,Hillary Clinton / Tim Kaine,132,0.00%,,
President/Vice President,Democratic Party,CLEAR CREEK,Hillary Clinton / Tim Kaine,"2,729",0.10%,,
President/Vice President,Democratic Party,CONEJOS,Hillary Clinton / Tim Kaine,"1,771",0.06%,,
President/Vice President,Democratic Party,COSTILLA,Hillary Clinton / Tim Kaine,"1,125",0.04%,,
President/Vice President,Democratic Party,CROWLEY,Hillary Clinton / Tim Kaine,339,0.01%,,
President/Vice President,Democratic Party,CUSTER,Hillary Clinton / Tim Kaine,797,0.03%,,
President/Vice President,Democratic Party,DELTA,Hillary Clinton / Tim Kaine,"4,087",0.15%,,
President/Vice President,Democratic Party,DENVER,Hillary Clinton / Tim Kaine,"244,551",8.80%,,
President/Vice President,Democratic Party,DOLORES,Hillary Clinton / Tim Kaine,242,0.01%,,
President/Vice President,Democratic Party,DOUGLAS,Hillary Clinton / Tim Kaine,"68,657",2.47%,,
President/Vice President,Democratic Party,EAGLE,Hillary Clinton / Tim Kaine,"14,099",0.51%,,
President/Vice President,Democratic Party,ELBERT,Hillary Clinton / Tim Kaine,"3,134",0.11%,,
President/Vice President,Democratic Party,EL PASO,Hillary Clinton / Tim Kaine,"108,010",3.88%,,
President/Vice President,Democratic Party,FREMONT,Hillary Clinton / Tim Kaine,"5,297",0.19%,,
President/Vice President,Democratic Party,GARFIELD,Hillary Clinton / Tim Kaine,"11,271",0.41%,,
President/Vice President,Democratic Party,GILPIN,Hillary Clinton / Tim Kaine,"1,634",0.06%,,
President/Vice President,Democratic Party,GRAND,Hillary Clinton / Tim Kaine,"3,358",0.12%,,
President/Vice President,Democratic Party,GUNNISON,Hillary Clinton / Tim Kaine,"5,128",0.18%,,
President/Vice President,Democratic Party,HINSDALE,Hillary Clinton / Tim Kaine,197,0.01%,,
President/Vice President,Democratic Party,HUERFANO,Hillary Clinton / Tim Kaine,"1,633",0.06%,,
President/Vice President,Democratic Party,JACKSON,Hillary Clinton / Tim Kaine,171,0.01%,,
President/Vice President,Democratic Party,JEFFERSON,Hillary Clinton / Tim Kaine,"160,776",5.78%,,
President/Vice President,Democratic Party,KIOWA,Hillary Clinton / Tim Kaine,91,0.00%,,
President/Vice President,Democratic Party,KIT CARSON,Hillary Clinton / Tim Kaine,536,0.02%,,
President/Vice President,Democratic Party,LAKE,Hillary Clinton / Tim Kaine,"1,616",0.06%,,
President/Vice President,Democratic Party,LA PLATA,Hillary Clinton / Tim Kaine,"15,525",0.56%,,
President/Vice President,Democratic Party,LARIMER,Hillary Clinton / Tim Kaine,"93,113",3.35%,,
President/Vice President,Democratic Party,LAS ANIMAS,Hillary Clinton / Tim Kaine,"2,650",0.10%,,
President/Vice President,Democratic Party,LINCOLN,Hillary Clinton / Tim Kaine,409,0.01%,,
President/Vice President,Democratic Party,LOGAN,Hillary Clinton / Tim Kaine,"1,851",0.07%,,
President/Vice President,Democratic Party,MESA,Hillary Clinton / Tim Kaine,"21,729",0.78%,,
President/Vice President,Democratic Party,MINERAL,Hillary Clinton / Tim Kaine,237,0.01%,,
President/Vice President,Democratic Party,MOFFAT,Hillary Clinton / Tim Kaine,874,0.03%,,
President/Vice President,Democratic Party,MONTEZUMA,Hillary Clinton / Tim Kaine,"3,973",0.14%,,
President/Vice President,Democratic Party,MONTROSE,Hillary Clinton / Tim Kaine,"5,466",0.20%,,
President/Vice President,Democratic Party,MORGAN,Hillary Clinton / Tim Kaine,"3,151",0.11%,,
President/Vice President,Democratic Party,OTERO,Hillary Clinton / Tim Kaine,"2,943",0.11%,,
