Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
President/Vice President,Democratic Party,ADAMS,Joseph R. Biden / Kamala D. Harris,"134,202",
President/Vice President,Democratic Party,ALAMOSA,Joseph R. Biden / Kamala D. Harris,"3,759",
President/Vice President,Democratic Party,ARAPAHOE,Joseph R. Biden / Kamala D. Harris,"213,607",
President/Vice President,Democratic Party,ARCHULETA,Joseph R. Biden / Kamala D. Harris,"3,738",
President/Vice President,Democratic Party,BACA,Joseph R. Biden / Kamala D. Harris,317,
President/Vice President,Democratic Party,BENT,Joseph R. Biden / Kamala D. Harris,732,
President/Vice President,Democratic Party,BOULDER,Joseph R. Biden / Kamala D. Harris,"159,089",
President/Vice President,Democratic Party,BROOMFIELD,Joseph R. Biden / Kamala D. Harris,"29,077",
President/Vice President,Democratic Party,CHAFFEE,Joseph R. Biden / Kamala D. Harris,"7,160",
President/Vice President,Democratic Party,CHEYENNE,Joseph R. Biden / Kamala D. Harris,131,
President/Vice President,Democratic Party,CLEAR CREEK,Joseph R. Biden / Kamala D. Harris,"3,604",
President/Vice President,Democratic Party,CONEJOS,Joseph R. Biden / Kamala D. Harris,"1,959",
President/Vice President,Democratic Party,COSTILLA,Joseph R. Biden / Kamala D. Harris,"1,311",
President/Vice President,Democratic Party,CROWLEY,Joseph R. Biden / Kamala D. Harris,437,
President/Vice President,Democratic Party,CUSTER,Joseph R. Biden / Kamala D. Harris,"1,112",
President/Vice President,Democratic Party,DELTA,Joseph R. Biden / Kamala D. Harris,"5,887",
President/Vice President,Democratic Party,DENVER,Joseph R. Biden / Kamala D. Harris,"313,293",
President/Vice President,Democratic Party,DOLORES,Joseph R. Biden / Kamala D. Harris,341,
President/Vice President,Democratic Party,DOUGLAS,Joseph R. Biden / Kamala D. Harris,"104,653",
President/Vice President,Democratic Party,EAGLE,Joseph R. Biden / Kamala D. Harris,"18,588",
President/Vice President,Democratic Party,ELBERT,Joseph R. Biden / Kamala D. Harris,"4,490",
President/Vice President,Democratic Party,EL PASO,Joseph R. Biden / Kamala D. Harris,"161,941",
President/Vice President,Democratic Party,FREMONT,Joseph R. Biden / Kamala D. Harris,"7,369",
President/Vice President,Democratic Party,GARFIELD,Joseph R. Biden / Kamala D. Harris,"15,427",
President/Vice President,Democratic Party,GILPIN,Joseph R. Biden / Kamala D. Harris,"2,223",
President/Vice President,Democratic Party,GRAND,Joseph R. Biden / Kamala D. Harris,"4,710",
President/Vice President,Democratic Party,GUNNISON,Joseph R. Biden / Kamala D. Harris,"7,132",
President/Vice President,Democratic Party,HINSDALE,Joseph R. Biden / Kamala D. Harris,255,
President/Vice President,Democratic Party,HUERFANO,Joseph R. Biden / Kamala D. Harris,"2,076",
President/Vice President,Democratic Party,JACKSON,Joseph R. Biden / Kamala D. Harris,175,
President/Vice President,Democratic Party,JEFFERSON,Joseph R. Biden / Kamala D. Harris,"218,396",
President/Vice President,Democratic Party,KIOWA,Joseph R. Biden / Kamala D. Harris,98,
President/Vice President,Democratic Party,KIT CARSON,Joseph R. Biden / Kamala D. Harris,662,
President/Vice President,Democratic Party,LAKE,Joseph R. Biden / Kamala D. Harris,"2,303",
President/Vice President,Democratic Party,LA PLATA,Joseph R. Biden / Kamala D. Harris,"20,548",
President/Vice President,Democratic Party,LARIMER,Joseph R. Biden / Kamala D. Harris,"126,120",
President/Vice President,Democratic Party,LAS ANIMAS,Joseph R. Biden / Kamala D. Harris,"3,497",
President/Vice President,Democratic Party,LINCOLN,Joseph R. Biden / Kamala D. Harris,470,
President/Vice President,Democratic Party,LOGAN,Joseph R. Biden / Kamala D. Harris,"2,218",
President/Vice President,Democratic Party,MESA,Joseph R. Biden / Kamala D. Harris,"31,536",
President/Vice President,Democratic Party,MINERAL,Joseph R. Biden / Kamala D. Harris,317,
President/Vice President,Democratic Party,MOFFAT,Joseph R. Biden / Kamala D. Harris,"1,203",
President/Vice President,Democratic Party,MONTEZUMA,Joseph R. Biden / Kamala D. Harris,"5,836",
President/Vice President,Democratic Party,MONTROSE,Joseph R. Biden / Kamala D. Harris,"7,687",
President/Vice President,Democratic Party,MORGAN,Joseph R. Biden / Kamala D. Harris,"3,876",
President/Vice President,Democratic Party,OTERO,Joseph R. Biden / Kamala D. Harris,"3,605",
President/Vice President,Democratic Party,OURAY,Joseph R. Biden / Kamala D. Harris,"2,365",
President/Vice President,Democratic Party,PARK,Joseph R. Biden / Kamala D. Harris,"4,903",
President/Vice President,Democratic Party,PHILLIPS,Joseph R. Biden / Kamala D. Harris,486,
President/Vice President,Democratic Party,PITKIN,Joseph R. Biden / Kamala D. Harris,"8,989",
President/Vice President,Democratic Party,PROWERS,Joseph R. Biden / Kamala D. Harris,"1,458",
President/Vice President,Democratic Party,PUEBLO,Joseph R. Biden / Kamala D. Harris,"43,772",
President/Vice President,Democratic Party,RIO BLANCO,Joseph R. Biden / Kamala D. Harris,561,
President/Vice President,Democratic Party,RIO GRANDE,Joseph R. Biden / Kamala D. Harris,"2,495",
President/Vice President,Democratic Party,ROUTT,Joseph R. Biden / Kamala D. Harris,"10,582",
President/Vice President,Democratic Party,SAGUACHE,Joseph R. Biden / Kamala D. Harris,"1,884",
President/Vice President,Democratic Party,SAN JUAN,Joseph R. Biden / Kamala D. Harris,342,
President/Vice President,Democratic Party,SAN MIGUEL,Joseph R. Biden / Kamala D. Harris,"3,924",
President/Vice President,Democratic Party,SEDGWICK,Joseph R. Biden / Kamala D. Harris,301,
President/Vice President,Democratic Party,SUMMIT,Joseph R. Biden / Kamala D. Harris,"12,631",
President/Vice President,Democratic Party,TELLER,Joseph R. Biden / Kamala D. Harris,"5,278",
President/Vice President,Democratic Party,WASHINGTON,Joseph R. Biden / Kamala D. Harris,369,
President/Vice President,Democratic Party,WELD,Joseph R. Biden / Kamala D. Harris,"66,060",
President/Vice President,Democratic Party,YUMA,Joseph R. Biden / Kamala D. Harris,785,
President/Vice President,Democratic Party,,Joseph R. Biden / Kamala D. Harris Total Votes,"1,804,352",
President/Vice President,Democratic Party,,Joseph R. Biden / Kamala D. Harris Vote % (WINNER),55.40%,
President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"95,657",
President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,813",
President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"127,323",
President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"5,189",
President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,867",
President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,503",
President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"42,501",
President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"16,295",
President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"6,222",
President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,993,
President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,754",
President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"2,286",
President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,741,
President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,271",
President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,474",
President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"13,081",
President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"71,618",
President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,"1,089",
President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"121,270",
President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"9,892",
President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"14,027",
President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"202,828",
President/Vice President,Republican Party,FREMONT,Donald J. Trump / Michael R. Pence,"17,517",
President/Vice President,Republican Party,GARFIELD,Donald J. Trump / Michael R. Pence,"14,717",
President/Vice President,Republican Party,GILPIN,Donald J. Trump / Michael R. Pence,"1,833",
