,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
330,President/Vice President,Approval Voting Party,ADAMS,Blake Huber / Frank Atwood,37,
331,President/Vice President,Approval Voting Party,ALAMOSA,Blake Huber / Frank Atwood,1,
332,President/Vice President,Approval Voting Party,ARAPAHOE,Blake Huber / Frank Atwood,41,
333,President/Vice President,Approval Voting Party,ARCHULETA,Blake Huber / Frank Atwood,1,
334,President/Vice President,Approval Voting Party,BACA,Blake Huber / Frank Atwood,2,
335,President/Vice President,Approval Voting Party,BENT,Blake Huber / Frank Atwood,1,
336,President/Vice President,Approval Voting Party,BOULDER,Blake Huber / Frank Atwood,22,
337,President/Vice President,Approval Voting Party,BROOMFIELD,Blake Huber / Frank Atwood,2,
338,President/Vice President,Approval Voting Party,CHAFFEE,Blake Huber / Frank Atwood,2,
339,President/Vice President,Approval Voting Party,CHEYENNE,Blake Huber / Frank Atwood,0,
340,President/Vice President,Approval Voting Party,CLEAR CREEK,Blake Huber / Frank Atwood,1,
341,President/Vice President,Approval Voting Party,CONEJOS,Blake Huber / Frank Atwood,0,
342,President/Vice President,Approval Voting Party,COSTILLA,Blake Huber / Frank Atwood,0,
343,President/Vice President,Approval Voting Party,CROWLEY,Blake Huber / Frank Atwood,0,
344,President/Vice President,Approval Voting Party,CUSTER,Blake Huber / Frank Atwood,0,
345,President/Vice President,Approval Voting Party,DELTA,Blake Huber / Frank Atwood,9,
346,President/Vice President,Approval Voting Party,DENVER,Blake Huber / Frank Atwood,55,
347,President/Vice President,Approval Voting Party,DOLORES,Blake Huber / Frank Atwood,0,
348,President/Vice President,Approval Voting Party,DOUGLAS,Blake Huber / Frank Atwood,14,
349,President/Vice President,Approval Voting Party,EAGLE,Blake Huber / Frank Atwood,2,
350,President/Vice President,Approval Voting Party,ELBERT,Blake Huber / Frank Atwood,4,
351,President/Vice President,Approval Voting Party,EL PASO,Blake Huber / Frank Atwood,35,
352,President/Vice President,Approval Voting Party,FREMONT,Blake Huber / Frank Atwood,1,
353,President/Vice President,Approval Voting Party,GARFIELD,Blake Huber / Frank Atwood,5,
