OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,American Constitution Party,ADAMS,Darrell L. Castle / Scott N. Bradley,993,0.04%,,
President/Vice President,American Constitution Party,ALAMOSA,Darrell L. Castle / Scott N. Bradley,35,0.00%,,
President/Vice President,American Constitution Party,ARAPAHOE,Darrell L. Castle / Scott N. Bradley,"1,096",0.04%,,
President/Vice President,American Constitution Party,ARCHULETA,Darrell L. Castle / Scott N. Bradley,43,0.00%,,
President/Vice President,American Constitution Party,BACA,Darrell L. Castle / Scott N. Bradley,20,0.00%,,
President/Vice President,American Constitution Party,BENT,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,BOULDER,Darrell L. Castle / Scott N. Bradley,502,0.02%,,
President/Vice President,American Constitution Party,BROOMFIELD,Darrell L. Castle / Scott N. Bradley,152,0.01%,,
President/Vice President,American Constitution Party,CHAFFEE,Darrell L. Castle / Scott N. Bradley,66,0.00%,,
President/Vice President,American Constitution Party,CHEYENNE,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,CLEAR CREEK,Darrell L. Castle / Scott N. Bradley,22,0.00%,,
President/Vice President,American Constitution Party,CONEJOS,Darrell L. Castle / Scott N. Bradley,39,0.00%,,
President/Vice President,American Constitution Party,COSTILLA,Darrell L. Castle / Scott N. Bradley,9,0.00%,,
President/Vice President,American Constitution Party,CROWLEY,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,CUSTER,Darrell L. Castle / Scott N. Bradley,19,0.00%,,
President/Vice President,American Constitution Party,DELTA,Darrell L. Castle / Scott N. Bradley,100,0.00%,,
President/Vice President,American Constitution Party,DENVER,Darrell L. Castle / Scott N. Bradley,623,0.02%,,
President/Vice President,American Constitution Party,DOLORES,Darrell L. Castle / Scott N. Bradley,7,0.00%,,
President/Vice President,American Constitution Party,DOUGLAS,Darrell L. Castle / Scott N. Bradley,695,0.02%,,
President/Vice President,American Constitution Party,EAGLE,Darrell L. Castle / Scott N. Bradley,62,0.00%,,
President/Vice President,American Constitution Party,ELBERT,Darrell L. Castle / Scott N. Bradley,92,0.00%,,
President/Vice President,American Constitution Party,EL PASO,Darrell L. Castle / Scott N. Bradley,"1,436",0.05%,,
President/Vice President,American Constitution Party,FREMONT,Darrell L. Castle / Scott N. Bradley,142,0.01%,,
President/Vice President,American Constitution Party,GARFIELD,Darrell L. Castle / Scott N. Bradley,150,0.01%,,
President/Vice President,American Constitution Party,GILPIN,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,GRAND,Darrell L. Castle / Scott N. Bradley,23,0.00%,,
President/Vice President,American Constitution Party,GUNNISON,Darrell L. Castle / Scott N. Bradley,48,0.00%,,
President/Vice President,American Constitution Party,HINSDALE,Darrell L. Castle / Scott N. Bradley,2,0.00%,,
President/Vice President,American Constitution Party,HUERFANO,Darrell L. Castle / Scott N. Bradley,27,0.00%,,
