,OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
0,President/Vice President,Democratic Party,ADAMS,Hillary Clinton / Tim Kaine,"96,558",3.47%,,
1,President/Vice President,Democratic Party,ALAMOSA,Hillary Clinton / Tim Kaine,"3,189",0.11%,,
2,President/Vice President,Democratic Party,ARAPAHOE,Hillary Clinton / Tim Kaine,"159,885",5.75%,,
3,President/Vice President,Democratic Party,ARCHULETA,Hillary Clinton / Tim Kaine,"2,500",0.09%,,
4,President/Vice President,Democratic Party,BACA,Hillary Clinton / Tim Kaine,283,0.01%,,
5,President/Vice President,Democratic Party,BENT,Hillary Clinton / Tim Kaine,590,0.02%,,
6,President/Vice President,Democratic Party,BOULDER,Hillary Clinton / Tim Kaine,"132,334",4.76%,,
7,President/Vice President,Democratic Party,BROOMFIELD,Hillary Clinton / Tim Kaine,"19,731",0.71%,,
8,President/Vice President,Democratic Party,CHAFFEE,Hillary Clinton / Tim Kaine,"4,888",0.18%,,
9,President/Vice President,Democratic Party,CHEYENNE,Hillary Clinton / Tim Kaine,132,0.00%,,
10,President/Vice President,Democratic Party,CLEAR CREEK,Hillary Clinton / Tim Kaine,"2,729",0.10%,,
11,President/Vice President,Democratic Party,CONEJOS,Hillary Clinton / Tim Kaine,"1,771",0.06%,,
12,President/Vice President,Democratic Party,COSTILLA,Hillary Clinton / Tim Kaine,"1,125",0.04%,,
13,President/Vice President,Democratic Party,CROWLEY,Hillary Clinton / Tim Kaine,339,0.01%,,
14,President/Vice President,Democratic Party,CUSTER,Hillary Clinton / Tim Kaine,797,0.03%,,
15,President/Vice President,Democratic Party,DELTA,Hillary Clinton / Tim Kaine,"4,087",0.15%,,
16,President/Vice President,Democratic Party,DENVER,Hillary Clinton / Tim Kaine,"244,551",8.80%,,
17,President/Vice President,Democratic Party,DOLORES,Hillary Clinton / Tim Kaine,242,0.01%,,
18,President/Vice President,Democratic Party,DOUGLAS,Hillary Clinton / Tim Kaine,"68,657",2.47%,,
19,President/Vice President,Democratic Party,EAGLE,Hillary Clinton / Tim Kaine,"14,099",0.51%,,
20,President/Vice President,Democratic Party,ELBERT,Hillary Clinton / Tim Kaine,"3,134",0.11%,,
21,President/Vice President,Democratic Party,EL PASO,Hillary Clinton / Tim Kaine,"108,010",3.88%,,
22,President/Vice President,Democratic Party,FREMONT,Hillary Clinton / Tim Kaine,"5,297",0.19%,,
23,President/Vice President,Democratic Party,GARFIELD,Hillary Clinton / Tim Kaine,"11,271",0.41%,,
24,President/Vice President,Democratic Party,GILPIN,Hillary Clinton / Tim Kaine,"1,634",0.06%,,
25,President/Vice President,Democratic Party,GRAND,Hillary Clinton / Tim Kaine,"3,358",0.12%,,
26,President/Vice President,Democratic Party,GUNNISON,Hillary Clinton / Tim Kaine,"5,128",0.18%,,
27,President/Vice President,Democratic Party,HINSDALE,Hillary Clinton / Tim Kaine,197,0.01%,,
28,President/Vice President,Democratic Party,HUERFANO,Hillary Clinton / Tim Kaine,"1,633",0.06%,,
