,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent
0,President/Vice President,Democratic Party,ADAMS,Hillary Clinton / Tim Kaine,"96,558","1,338,870",48.16%
1,President/Vice President,Democratic Party,ALAMOSA,Hillary Clinton / Tim Kaine,"3,189","1,338,870",48.16%
2,President/Vice President,Democratic Party,ARAPAHOE,Hillary Clinton / Tim Kaine,"159,885","1,338,870",48.16%
3,President/Vice President,Democratic Party,ARCHULETA,Hillary Clinton / Tim Kaine,"2,500","1,338,870",48.16%
4,President/Vice President,Democratic Party,BACA,Hillary Clinton / Tim Kaine,283,"1,338,870",48.16%
5,President/Vice President,Democratic Party,BENT,Hillary Clinton / Tim Kaine,590,"1,338,870",48.16%
6,President/Vice President,Democratic Party,BOULDER,Hillary Clinton / Tim Kaine,"132,334","1,338,870",48.16%
7,President/Vice President,Democratic Party,BROOMFIELD,Hillary Clinton / Tim Kaine,"19,731","1,338,870",48.16%
8,President/Vice President,Democratic Party,CHAFFEE,Hillary Clinton / Tim Kaine,"4,888","1,338,870",48.16%
9,President/Vice President,Democratic Party,CHEYENNE,Hillary Clinton / Tim Kaine,132,"1,338,870",48.16%
10,President/Vice President,Democratic Party,CLEAR CREEK,Hillary Clinton / Tim Kaine,"2,729","1,338,870",48.16%
11,President/Vice President,Democratic Party,CONEJOS,Hillary Clinton / Tim Kaine,"1,771","1,338,870",48.16%
12,President/Vice President,Democratic Party,COSTILLA,Hillary Clinton / Tim Kaine,"1,125","1,338,870",48.16%
13,President/Vice President,Democratic Party,CROWLEY,Hillary Clinton / Tim Kaine,339,"1,338,870",48.16%
14,President/Vice President,Democratic Party,CUSTER,Hillary Clinton / Tim Kaine,797,"1,338,870",48.16%
15,President/Vice President,Democratic Party,DELTA,Hillary Clinton / Tim Kaine,"4,087","1,338,870",48.16%
16,President/Vice President,Democratic Party,DENVER,Hillary Clinton / Tim Kaine,"244,551","1,338,870",48.16%
17,President/Vice President,Democratic Party,DOLORES,Hillary Clinton / Tim Kaine,242,"1,338,870",48.16%
18,President/Vice President,Democratic Party,DOUGLAS,Hillary Clinton / Tim Kaine,"68,657","1,338,870",48.16%
19,President/Vice President,Democratic Party,EAGLE,Hillary Clinton / Tim Kaine,"14,099","1,338,870",48.16%
20,President/Vice President,Democratic Party,ELBERT,Hillary Clinton / Tim Kaine,"3,134","1,338,870",48.16%
21,President/Vice President,Democratic Party,EL PASO,Hillary Clinton / Tim Kaine,"108,010","1,338,870",48.16%
22,President/Vice President,Democratic Party,FREMONT,Hillary Clinton / Tim Kaine,"5,297","1,338,870",48.16%
23,President/Vice President,Democratic Party,GARFIELD,Hillary Clinton / Tim Kaine,"11,271","1,338,870",48.16%
24,President/Vice President,Democratic Party,GILPIN,Hillary Clinton / Tim Kaine,"1,634","1,338,870",48.16%
25,President/Vice President,Democratic Party,GRAND,Hillary Clinton / Tim Kaine,"3,358","1,338,870",48.16%
26,President/Vice President,Democratic Party,GUNNISON,Hillary Clinton / Tim Kaine,"5,128","1,338,870",48.16%
27,President/Vice President,Democratic Party,HINSDALE,Hillary Clinton / Tim Kaine,197,"1,338,870",48.16%
28,President/Vice President,Democratic Party,HUERFANO,Hillary Clinton / Tim Kaine,"1,633","1,338,870",48.16%
29,President/Vice President,Democratic Party,JACKSON,Hillary Clinton / Tim Kaine,171,"1,338,870",48.16%
30,President/Vice President,Democratic Party,JEFFERSON,Hillary Clinton / Tim Kaine,"160,776","1,338,870",48.16%
31,President/Vice President,Democratic Party,KIOWA,Hillary Clinton / Tim Kaine,91,"1,338,870",48.16%
32,President/Vice President,Democratic Party,KIT CARSON,Hillary Clinton / Tim Kaine,536,"1,338,870",48.16%
33,President/Vice President,Democratic Party,LAKE,Hillary Clinton / Tim Kaine,"1,616","1,338,870",48.16%
