,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent
0,President/Vice President,Democratic Party,ADAMS,Joseph R. Biden / Kamala D. Harris,"134,202","1,804,352",55.40%
1,President/Vice President,Democratic Party,ALAMOSA,Joseph R. Biden / Kamala D. Harris,"3,759","1,804,352",55.40%
2,President/Vice President,Democratic Party,ARAPAHOE,Joseph R. Biden / Kamala D. Harris,"213,607","1,804,352",55.40%
3,President/Vice President,Democratic Party,ARCHULETA,Joseph R. Biden / Kamala D. Harris,"3,738","1,804,352",55.40%
4,President/Vice President,Democratic Party,BACA,Joseph R. Biden / Kamala D. Harris,317,"1,804,352",55.40%
5,President/Vice President,Democratic Party,BENT,Joseph R. Biden / Kamala D. Harris,732,"1,804,352",55.40%
6,President/Vice President,Democratic Party,BOULDER,Joseph R. Biden / Kamala D. Harris,"159,089","1,804,352",55.40%
7,President/Vice President,Democratic Party,BROOMFIELD,Joseph R. Biden / Kamala D. Harris,"29,077","1,804,352",55.40%
8,President/Vice President,Democratic Party,CHAFFEE,Joseph R. Biden / Kamala D. Harris,"7,160","1,804,352",55.40%
9,President/Vice President,Democratic Party,CHEYENNE,Joseph R. Biden / Kamala D. Harris,131,"1,804,352",55.40%
10,President/Vice President,Democratic Party,CLEAR CREEK,Joseph R. Biden / Kamala D. Harris,"3,604","1,804,352",55.40%
11,President/Vice President,Democratic Party,CONEJOS,Joseph R. Biden / Kamala D. Harris,"1,959","1,804,352",55.40%
12,President/Vice President,Democratic Party,COSTILLA,Joseph R. Biden / Kamala D. Harris,"1,311","1,804,352",55.40%
13,President/Vice President,Democratic Party,CROWLEY,Joseph R. Biden / Kamala D. Harris,437,"1,804,352",55.40%
14,President/Vice President,Democratic Party,CUSTER,Joseph R. Biden / Kamala D. Harris,"1,112","1,804,352",55.40%
15,President/Vice President,Democratic Party,DELTA,Joseph R. Biden / Kamala D. Harris,"5,887","1,804,352",55.40%
16,President/Vice President,Democratic Party,DENVER,Joseph R. Biden / Kamala D. Harris,"313,293","1,804,352",55.40%
17,President/Vice President,Democratic Party,DOLORES,Joseph R. Biden / Kamala D. Harris,341,"1,804,352",55.40%
18,President/Vice President,Democratic Party,DOUGLAS,Joseph R. Biden / Kamala D. Harris,"104,653","1,804,352",55.40%
19,President/Vice President,Democratic Party,EAGLE,Joseph R. Biden / Kamala D. Harris,"18,588","1,804,352",55.40%
20,President/Vice President,Democratic Party,ELBERT,Joseph R. Biden / Kamala D. Harris,"4,490","1,804,352",55.40%
21,President/Vice President,Democratic Party,EL PASO,Joseph R. Biden / Kamala D. Harris,"161,941","1,804,352",55.40%
22,President/Vice President,Democratic Party,FREMONT,Joseph R. Biden / Kamala D. Harris,"7,369","1,804,352",55.40%
23,President/Vice President,Democratic Party,GARFIELD,Joseph R. Biden / Kamala D. Harris,"15,427","1,804,352",55.40%
24,President/Vice President,Democratic Party,GILPIN,Joseph R. Biden / Kamala D. Harris,"2,223","1,804,352",55.40%
25,President/Vice President,Democratic Party,GRAND,Joseph R. Biden / Kamala D. Harris,"4,710","1,804,352",55.40%
26,President/Vice President,Democratic Party,GUNNISON,Joseph R. Biden / Kamala D. Harris,"7,132","1,804,352",55.40%
27,President/Vice President,Democratic Party,HINSDALE,Joseph R. Biden / Kamala D. Harris,255,"1,804,352",55.40%
28,President/Vice President,Democratic Party,HUERFANO,Joseph R. Biden / Kamala D. Harris,"2,076","1,804,352",55.40%
29,President/Vice President,Democratic Party,JACKSON,Joseph R. Biden / Kamala D. Harris,175,"1,804,352",55.40%
30,President/Vice President,Democratic Party,JEFFERSON,Joseph R. Biden / Kamala D. Harris,"218,396","1,804,352",55.40%
31,President/Vice President,Democratic Party,KIOWA,Joseph R. Biden / Kamala D. Harris,98,"1,804,352",55.40%
32,President/Vice President,Democratic Party,KIT CARSON,Joseph R. Biden / Kamala D. Harris,662,"1,804,352",55.40%
