,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent,
65,President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"80,082","1,202,484",43.25%,
66,President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,046","1,202,484",43.25%,
67,President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"117,053","1,202,484",43.25%,
68,President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"4,264","1,202,484",43.25%,
69,President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,753","1,202,484",43.25%,
70,President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,188","1,202,484",43.25%,
71,President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"41,396","1,202,484",43.25%,
72,President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"14,367","1,202,484",43.25%,
73,President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"5,391","1,202,484",43.25%,
74,President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,925,"1,202,484",43.25%,
75,President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,575","1,202,484",43.25%,
76,President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"1,914","1,202,484",43.25%,
77,President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,588,"1,202,484",43.25%,
78,President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,079","1,202,484",43.25%,
79,President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,061","1,202,484",43.25%,
80,President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"11,655","1,202,484",43.25%,
81,President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"62,690","1,202,484",43.25%,
82,President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,944,"1,202,484",43.25%,
83,President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"102,573","1,202,484",43.25%,
84,President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"8,990","1,202,484",43.25%,
85,President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"11,705","1,202,484",43.25%,
86,President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"179,228","1,202,484",43.25%,
87,President/Vice President,Republican Party,FREMONT,Donald J. Trump / Michael R. Pence,"15,122","1,202,484",43.25%,
88,President/Vice President,Republican Party,GARFIELD,Donald J. Trump / Michael R. Pence,"13,132","1,202,484",43.25%,
89,President/Vice President,Republican Party,GILPIN,Donald J. Trump / Michael R. Pence,"1,566","1,202,484",43.25%,
90,President/Vice President,Republican Party,GRAND,Donald J. Trump / Michael R. Pence,"4,494","1,202,484",43.25%,
91,President/Vice President,Republican Party,GUNNISON,Donald J. Trump / Michael R. Pence,"3,289","1,202,484",43.25%,
92,President/Vice President,Republican Party,HINSDALE,Donald J. Trump / Michael R. Pence,339,"1,202,484",43.25%,
93,President/Vice President,Republican Party,HUERFANO,Donald J. Trump / Michael R. Pence,"1,883","1,202,484",43.25%,
94,President/Vice President,Republican Party,JACKSON,Donald J. Trump / Michael R. Pence,629,"1,202,484",43.25%,
95,President/Vice President,Republican Party,JEFFERSON,Donald J. Trump / Michael R. Pence,"138,177","1,202,484",43.25%,
