,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent
66,President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"95,657","1,364,607",41.90%
67,President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,813","1,364,607",41.90%
68,President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"127,323","1,364,607",41.90%
69,President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"5,189","1,364,607",41.90%
70,President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,867","1,364,607",41.90%
71,President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,503","1,364,607",41.90%
72,President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"42,501","1,364,607",41.90%
73,President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"16,295","1,364,607",41.90%
74,President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"6,222","1,364,607",41.90%
75,President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,993,"1,364,607",41.90%
76,President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,754","1,364,607",41.90%
77,President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"2,286","1,364,607",41.90%
78,President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,741,"1,364,607",41.90%
79,President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,271","1,364,607",41.90%
80,President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,474","1,364,607",41.90%
81,President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"13,081","1,364,607",41.90%
82,President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"71,618","1,364,607",41.90%
83,President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,"1,089","1,364,607",41.90%
84,President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"121,270","1,364,607",41.90%
85,President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"9,892","1,364,607",41.90%
86,President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"14,027","1,364,607",41.90%
87,President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"202,828","1,364,607",41.90%
88,President/Vice President,Republican Party,FREMONT,Donald J. Trump / Michael R. Pence,"17,517","1,364,607",41.90%
89,President/Vice President,Republican Party,GARFIELD,Donald J. Trump / Michael R. Pence,"14,717","1,364,607",41.90%
90,President/Vice President,Republican Party,GILPIN,Donald J. Trump / Michael R. Pence,"1,833","1,364,607",41.90%
91,President/Vice President,Republican Party,GRAND,Donald J. Trump / Michael R. Pence,"4,883","1,364,607",41.90%
92,President/Vice President,Republican Party,GUNNISON,Donald J. Trump / Michael R. Pence,"3,735","1,364,607",41.90%
93,President/Vice President,Republican Party,HINSDALE,Donald J. Trump / Michael R. Pence,353,"1,364,607",41.90%
94,President/Vice President,Republican Party,HUERFANO,Donald J. Trump / Michael R. Pence,"2,203","1,364,607",41.90%
95,President/Vice President,Republican Party,JACKSON,Donald J. Trump / Michael R. Pence,681,"1,364,607",41.90%
96,President/Vice President,Republican Party,JEFFERSON,Donald J. Trump / Michael R. Pence,"148,417","1,364,607",41.90%
97,President/Vice President,Republican Party,KIOWA,Donald J. Trump / Michael R. Pence,795,"1,364,607",41.90%
98,President/Vice President,Republican Party,KIT CARSON,Donald J. Trump / Michael R. Pence,"3,144","1,364,607",41.90%
99,President/Vice President,Republican Party,LAKE,Donald J. Trump / Michael R. Pence,"1,497","1,364,607",41.90%
100,President/Vice President,Republican Party,LA PLATA,Donald J. Trump / Michael R. Pence,"14,233","1,364,607",41.90%
