County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016
ADAMS,President,134202,1804352,0.554,95657,1364607,0.419,517885,96558,1338870,0.4816,80082,1202484,0.4325,498007
ALAMOSA,President,3759,1804352,0.554,3813,1364607,0.419,16181,3189,1338870,0.4816,3046,1202484,0.4325,16035
ARAPAHOE,President,213607,1804352,0.554,127323,1364607,0.419,656822,159885,1338870,0.4816,117053,1202484,0.4325,638513
ARCHULETA,President,3738,1804352,0.554,5189,1364607,0.419,14002,2500,1338870,0.4816,4264,1202484,0.4325,12843
BACA,President,317,1804352,0.554,1867,1364607,0.419,3556,283,1338870,0.4816,1753,1202484,0.4325,3525
BENT,President,732,1804352,0.554,1503,1364607,0.419,5798,590,1338870,0.4816,1188,1202484,0.4325,5637
BOULDER,President,159089,1804352,0.554,42501,1364607,0.419,327164,132334,1338870,0.4816,41396,1202484,0.4325,322201
BROOMFIELD,President,29077,1804352,0.554,16295,1364607,0.419,70762,19731,1338870,0.4816,14367,1202484,0.4325,66449
CHAFFEE,President,7160,1804352,0.554,6222,1364607,0.419,20361,4888,1338870,0.4816,5391,1202484,0.4325,19116
CHEYENNE,President,131,1804352,0.554,993,1364607,0.419,1825,132,1338870,0.4816,925,1202484,0.4325,1854
CLEAR CREEK,President,3604,1804352,0.554,2754,1364607,0.419,9740,2729,1338870,0.4816,2575,1202484,0.4325,9392
CONEJOS,President,1959,1804352,0.554,2286,1364607,0.419,8161,1771,1338870,0.4816,1914,1202484,0.4325,8022
COSTILLA,President,1311,1804352,0.554,741,1364607,0.419,3872,1125,1338870,0.4816,588,1202484,0.4325,3706
CROWLEY,President,437,1804352,0.554,1271,1364607,0.419,6032,339,1338870,0.4816,1079,1202484,0.4325,5252
CUSTER,President,1112,1804352,0.554,2474,1364607,0.419,5059,797,1338870,0.4816,2061,1202484,0.4325,4577
DELTA,President,5887,1804352,0.554,13081,1364607,0.419,31173,4087,1338870,0.4816,11655,1202484,0.4325,30372
DENVER,President,313293,1804352,0.554,71618,1364607,0.419,729239,244551,1338870,0.4816,62690,1202484,0.4325,697744
DOLORES,President,341,1804352,0.554,1089,1364607,0.419,2037,242,1338870,0.4816,944,1202484,0.4325,2050
DOUGLAS,President,104653,1804352,0.554,121270,1364607,0.419,351528,68657,1338870,0.4816,102573,1202484,0.4325,328548
EAGLE,President,18588,1804352,0.554,9892,1364607,0.419,55070,14099,1338870,0.4816,8990,1202484,0.4325,54529
ELBERT,President,4490,1804352,0.554,14027,1364607,0.419,26686,3134,1338870,0.4816,11705,1202484,0.4325,25112
EL PASO,President,161941,1804352,0.554,202828,1364607,0.419,722493,108010,1338870,0.4816,179228,1202484,0.4325,689481
FREMONT,President,7369,1804352,0.554,17517,1364607,0.419,47645,5297,1338870,0.4816,15122,1202484,0.4325,46995
GARFIELD,President,15427,1804352,0.554,14717,1364607,0.419,60168,11271,1338870,0.4816,13132,1202484,0.4325,58930
GILPIN,President,2223,1804352,0.554,1833,1364607,0.419,6215,1634,1338870,0.4816,1566,1202484,0.4325,5906
GRAND,President,4710,1804352,0.554,4883,1364607,0.419,15718,3358,1338870,0.4816,4494,1202484,0.4325,15179
GUNNISON,President,7132,1804352,0.554,3735,1364607,0.419,17495,5128,1338870,0.4816,3289,1202484,0.4325,16449
HINSDALE,President,255,1804352,0.554,353,1364607,0.419,819,197,1338870,0.4816,339,1202484,0.4325,786
HUERFANO,President,2076,1804352,0.554,2203,1364607,0.419,6854,1633,1338870,0.4816,1883,1202484,0.4325,6568
JACKSON,President,175,1804352,0.554,681,1364607,0.419,1383,171,1338870,0.4816,629,1202484,0.4325,1357
JEFFERSON,President,218396,1804352,0.554,148417,1364607,0.419,583081,160776,1338870,0.4816,138177,1202484,0.4325,571648
KIOWA,President,98,1804352,0.554,795,1364607,0.419,1395,91,1338870,0.4816,728,1202484,0.4325,1343
KIT CARSON,President,662,1804352,0.554,3144,1364607,0.419,7128,536,1338870,0.4816,2967,1202484,0.4325,7639
LAKE,President,2303,1804352,0.554,1497,1364607,0.419,8081,1616,1338870,0.4816,1270,1202484,0.4325,7535
LA PLATA,President,20548,1804352,0.554,14233,1364607,0.419,56272,15525,1338870,0.4816,12587,1202484,0.4325,55414
LARIMER,President,126120,1804352,0.554,91489,1364607,0.419,356938,93113,1338870,0.4816,83430,1202484,0.4325,339182
LAS ANIMAS,President,3497,1804352,0.554,4284,1364607,0.419,14493,2650,1338870,0.4816,3710,1202484,0.4325,14073
LINCOLN,President,470,1804352,0.554,2135,1364607,0.419,5692,409,1338870,0.4816,1892,1202484,0.4325,5552
LOGAN,President,2218,1804352,0.554,8087,1364607,0.419,21914,1851,1338870,0.4816,7282,1202484,0.4325,21963
MESA,President,31536,1804352,0.554,56894,1364607,0.419,154933,21729,1338870,0.4816,49779,1202484,0.4325,150321
MINERAL,President,317,1804352,0.554,427,1364607,0.419,764,237,1338870,0.4816,344,1202484,0.4325,757
MOFFAT,President,1203,1804352,0.554,5670,1364607,0.419,13252,874,1338870,0.4816,5305,1202484,0.4325,13164
MONTEZUMA,President,5836,1804352,0.554,9306,1364607,0.419,26160,3973,1338870,0.4816,7853,1202484,0.4325,25981
MONTROSE,President,7687,1804352,0.554,16770,1364607,0.419,42765,5466,1338870,0.4816,14382,1202484,0.4325,41160
MORGAN,President,3876,1804352,0.554,9593,1364607,0.419,28984,3151,1338870,0.4816,8145,1202484,0.4325,28152
OTERO,President,3605,1804352,0.554,5756,1364607,0.419,18281,2943,1338870,0.4816,4928,1202484,0.4325,18203
OURAY,President,2365,1804352,0.554,1577,1364607,0.419,4934,1697,1338870,0.4816,1351,1202484,0.4325,4778
PARK,President,4903,1804352,0.554,6991,1364607,0.419,18844,3421,1338870,0.4816,6135,1202484,0.4325,17338
PHILLIPS,President,486,1804352,0.554,1958,1364607,0.419,4278,436,1338870,0.4816,1791,1202484,0.4325,4286
PITKIN,President,8989,1804352,0.554,2780,1364607,0.419,17756,7333,1338870,0.4816,2550,1202484,0.4325,17972
PROWERS,President,1458,1804352,0.554,4008,1364607,0.419,12122,1186,1338870,0.4816,3531,1202484,0.4325,11934
PUEBLO,President,43772,1804352,0.554,42252,1364607,0.419,168110,35875,1338870,0.4816,36265,1202484,0.4325,164459
RIO BLANCO,President,561,1804352,0.554,3061,1364607,0.419,6307,436,1338870,0.4816,2791,1202484,0.4325,6438
RIO GRANDE,President,2495,1804352,0.554,3660,1364607,0.419,11238,2001,1338870,0.4816,3085,1202484,0.4325,11335
ROUTT,President,10582,1804352,0.554,5925,1364607,0.419,25652,7600,1338870,0.4816,5230,1202484,0.4325,24711
SAGUACHE,President,1884,1804352,0.554,1413,1364607,0.419,6824,1417,1338870,0.4816,1147,1202484,0.4325,6425
SAN JUAN,President,342,1804352,0.554,202,1364607,0.419,726,265,1338870,0.4816,215,1202484,0.4325,690
SAN MIGUEL,President,3924,1804352,0.554,1136,1364607,0.419,8174,2975,1338870,0.4816,1033,1202484,0.4325,8019
SEDGWICK,President,301,1804352,0.554,1121,1364607,0.419,2229,267,1338870,0.4816,1015,1202484,0.4325,2398
SUMMIT,President,12631,1804352,0.554,5322,1364607,0.419,30983,9557,1338870,0.4816,5100,1202484,0.4325,30566
TELLER,President,5278,1804352,0.554,11241,1364607,0.419,25355,3603,1338870,0.4816,9745,1202484,0.4325,24027
WASHINGTON,President,369,1804352,0.554,2595,1364607,0.419,4742,296,1338870,0.4816,2299,1202484,0.4325,4669
WELD,President,66060,1804352,0.554,96145,1364607,0.419,323763,46519,1338870,0.4816,76651,1202484,0.4325,294867
YUMA,President,785,1804352,0.554,4107,1364607,0.419,10063,726,1338870,0.4816,3850,1202484,0.4325,10077
