County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent
ADAMS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"134,202","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"95,657","1,364,607",41.90%
ALAMOSA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,759","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,813","1,364,607",41.90%
ARAPAHOE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"213,607","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"127,323","1,364,607",41.90%
ARCHULETA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,738","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,189","1,364,607",41.90%
BACA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,317,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,867","1,364,607",41.90%
BENT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,732,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,503","1,364,607",41.90%
BOULDER,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"159,089","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"42,501","1,364,607",41.90%
BROOMFIELD,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"29,077","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"16,295","1,364,607",41.90%
CHAFFEE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"7,160","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"6,222","1,364,607",41.90%
CHEYENNE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,131,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,993,"1,364,607",41.90%
CLEAR CREEK,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,604","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,754","1,364,607",41.90%
CONEJOS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,959","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,286","1,364,607",41.90%
COSTILLA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,311","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,741,"1,364,607",41.90%
CROWLEY,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,437,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,271","1,364,607",41.90%
CUSTER,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,112","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,474","1,364,607",41.90%
DELTA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"5,887","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"13,081","1,364,607",41.90%
DENVER,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"313,293","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"71,618","1,364,607",41.90%
DOLORES,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,341,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,089","1,364,607",41.90%
DOUGLAS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"104,653","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"121,270","1,364,607",41.90%
EAGLE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"18,588","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"9,892","1,364,607",41.90%
ELBERT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"4,490","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"14,027","1,364,607",41.90%
EL PASO,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"161,941","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"202,828","1,364,607",41.90%
FREMONT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"7,369","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"17,517","1,364,607",41.90%
GARFIELD,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"15,427","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"14,717","1,364,607",41.90%
GILPIN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,223","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,833","1,364,607",41.90%
GRAND,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"4,710","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,883","1,364,607",41.90%
GUNNISON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"7,132","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,735","1,364,607",41.90%
HINSDALE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,255,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,353,"1,364,607",41.90%
HUERFANO,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,076","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,203","1,364,607",41.90%
JACKSON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,175,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,681,"1,364,607",41.90%
