County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent,Unnamed: 8
ADAMS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"96,558","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"80,082","1,202,484",43.25%,
ALAMOSA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,189","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,046","1,202,484",43.25%,
ARAPAHOE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"159,885","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"117,053","1,202,484",43.25%,
ARCHULETA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,500","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,264","1,202,484",43.25%,
BACA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,283,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,753","1,202,484",43.25%,
BENT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,590,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,188","1,202,484",43.25%,
BOULDER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"132,334","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"41,396","1,202,484",43.25%,
BROOMFIELD,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"19,731","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"14,367","1,202,484",43.25%,
CHAFFEE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"4,888","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,391","1,202,484",43.25%,
CHEYENNE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,132,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,925,"1,202,484",43.25%,
CLEAR CREEK,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,729","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,575","1,202,484",43.25%,
CONEJOS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,771","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,914","1,202,484",43.25%,
COSTILLA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,125","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,588,"1,202,484",43.25%,
CROWLEY,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,339,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,079","1,202,484",43.25%,
CUSTER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,797,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,061","1,202,484",43.25%,
DELTA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"4,087","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"11,655","1,202,484",43.25%,
DENVER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"244,551","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"62,690","1,202,484",43.25%,
DOLORES,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,242,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,944,"1,202,484",43.25%,
DOUGLAS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"68,657","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"102,573","1,202,484",43.25%,
EAGLE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"14,099","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"8,990","1,202,484",43.25%,
ELBERT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,134","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"11,705","1,202,484",43.25%,
EL PASO,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"108,010","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"179,228","1,202,484",43.25%,
FREMONT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"5,297","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"15,122","1,202,484",43.25%,
GARFIELD,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"11,271","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"13,132","1,202,484",43.25%,
GILPIN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,634","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,566","1,202,484",43.25%,
GRAND,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,358","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,494","1,202,484",43.25%,
GUNNISON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"5,128","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,289","1,202,484",43.25%,
HINSDALE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,197,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,339,"1,202,484",43.25%,
HUERFANO,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,633","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,883","1,202,484",43.25%,
JACKSON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,171,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,629,"1,202,484",43.25%,
JEFFERSON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"160,776","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"138,177","1,202,484",43.25%,
KIOWA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,91,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,728,"1,202,484",43.25%,
KIT CARSON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,536,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,967","1,202,484",43.25%,
LAKE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,616","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,270","1,202,484",43.25%,
LA PLATA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"15,525","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"12,587","1,202,484",43.25%,
LARIMER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"93,113","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"83,430","1,202,484",43.25%,
LAS ANIMAS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,650","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,710","1,202,484",43.25%,
LINCOLN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,409,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,892","1,202,484",43.25%,
