,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
396,President/Vice President,Libertarian Party,ADAMS,"Jo Jorgensen / Jeremy ""Spike"" Cohen","3,731",
397,President/Vice President,Libertarian Party,ALAMOSA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",90,
398,President/Vice President,Libertarian Party,ARAPAHOE,"Jo Jorgensen / Jeremy ""Spike"" Cohen","5,423",
399,President/Vice President,Libertarian Party,ARCHULETA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",120,
400,President/Vice President,Libertarian Party,BACA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",26,
401,President/Vice President,Libertarian Party,BENT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",15,
402,President/Vice President,Libertarian Party,BOULDER,"Jo Jorgensen / Jeremy ""Spike"" Cohen","2,539",
403,President/Vice President,Libertarian Party,BROOMFIELD,"Jo Jorgensen / Jeremy ""Spike"" Cohen",772,
404,President/Vice President,Libertarian Party,CHAFFEE,"Jo Jorgensen / Jeremy ""Spike"" Cohen",189,
405,President/Vice President,Libertarian Party,CHEYENNE,"Jo Jorgensen / Jeremy ""Spike"" Cohen",6,
406,President/Vice President,Libertarian Party,CLEAR CREEK,"Jo Jorgensen / Jeremy ""Spike"" Cohen",113,
407,President/Vice President,Libertarian Party,CONEJOS,"Jo Jorgensen / Jeremy ""Spike"" Cohen",34,
408,President/Vice President,Libertarian Party,COSTILLA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",15,
409,President/Vice President,Libertarian Party,CROWLEY,"Jo Jorgensen / Jeremy ""Spike"" Cohen",22,
410,President/Vice President,Libertarian Party,CUSTER,"Jo Jorgensen / Jeremy ""Spike"" Cohen",29,
411,President/Vice President,Libertarian Party,DELTA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",218,
412,President/Vice President,Libertarian Party,DENVER,"Jo Jorgensen / Jeremy ""Spike"" Cohen","4,870",
413,President/Vice President,Libertarian Party,DOLORES,"Jo Jorgensen / Jeremy ""Spike"" Cohen",5,
414,President/Vice President,Libertarian Party,DOUGLAS,"Jo Jorgensen / Jeremy ""Spike"" Cohen","3,715",
415,President/Vice President,Libertarian Party,EAGLE,"Jo Jorgensen / Jeremy ""Spike"" Cohen",377,
416,President/Vice President,Libertarian Party,ELBERT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",306,
417,President/Vice President,Libertarian Party,EL PASO,"Jo Jorgensen / Jeremy ""Spike"" Cohen","9,264",
418,President/Vice President,Libertarian Party,FREMONT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",397,
419,President/Vice President,Libertarian Party,GARFIELD,"Jo Jorgensen / Jeremy ""Spike"" Cohen",424,
420,President/Vice President,Libertarian Party,GILPIN,"Jo Jorgensen / Jeremy ""Spike"" Cohen",70,
421,President/Vice President,Libertarian Party,GRAND,"Jo Jorgensen / Jeremy ""Spike"" Cohen",174,
422,President/Vice President,Libertarian Party,GUNNISON,"Jo Jorgensen / Jeremy ""Spike"" Cohen",210,
423,President/Vice President,Libertarian Party,HINSDALE,"Jo Jorgensen / Jeremy ""Spike"" Cohen",10,
424,President/Vice President,Libertarian Party,HUERFANO,"Jo Jorgensen / Jeremy ""Spike"" Cohen",71,
425,President/Vice President,Libertarian Party,JACKSON,"Jo Jorgensen / Jeremy ""Spike"" Cohen",12,
426,President/Vice President,Libertarian Party,JEFFERSON,"Jo Jorgensen / Jeremy ""Spike"" Cohen","6,394",
427,President/Vice President,Libertarian Party,KIOWA,"Jo Jorgensen / Jeremy ""Spike"" Cohen",9,
