,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
66,President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"95,657",
67,President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,813",
68,President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"127,323",
69,President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"5,189",
70,President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,867",
71,President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,503",
72,President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"42,501",
73,President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"16,295",
74,President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"6,222",
75,President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,993,
76,President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,754",
77,President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"2,286",
78,President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,741,
79,President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,271",
80,President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,474",
81,President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"13,081",
82,President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"71,618",
83,President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,"1,089",
84,President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"121,270",
85,President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"9,892",
86,President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"14,027",
87,President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"202,828",
