,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
660,President/Vice President,Alliance Party,ADAMS,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",72,
661,President/Vice President,Alliance Party,ALAMOSA,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",5,
662,President/Vice President,Alliance Party,ARAPAHOE,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",67,
663,President/Vice President,Alliance Party,ARCHULETA,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
664,President/Vice President,Alliance Party,BACA,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
665,President/Vice President,Alliance Party,BENT,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",3,
666,President/Vice President,Alliance Party,BOULDER,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",23,
667,President/Vice President,Alliance Party,BROOMFIELD,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",8,
668,President/Vice President,Alliance Party,CHAFFEE,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",2,
669,President/Vice President,Alliance Party,CHEYENNE,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
670,President/Vice President,Alliance Party,CLEAR CREEK,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",2,
671,President/Vice President,Alliance Party,CONEJOS,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",4,
672,President/Vice President,Alliance Party,COSTILLA,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",1,
673,President/Vice President,Alliance Party,CROWLEY,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
674,President/Vice President,Alliance Party,CUSTER,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
675,President/Vice President,Alliance Party,DELTA,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",3,
676,President/Vice President,Alliance Party,DENVER,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",60,
677,President/Vice President,Alliance Party,DOLORES,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",0,
678,President/Vice President,Alliance Party,DOUGLAS,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",32,
679,President/Vice President,Alliance Party,EAGLE,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",3,
