,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
264,President/Vice President,Green Party,ADAMS,Howie Hawkins / Angela Nicole Walker,744,
265,President/Vice President,Green Party,ALAMOSA,Howie Hawkins / Angela Nicole Walker,23,
266,President/Vice President,Green Party,ARAPAHOE,Howie Hawkins / Angela Nicole Walker,926,
267,President/Vice President,Green Party,ARCHULETA,Howie Hawkins / Angela Nicole Walker,19,
268,President/Vice President,Green Party,BACA,Howie Hawkins / Angela Nicole Walker,3,
269,President/Vice President,Green Party,BENT,Howie Hawkins / Angela Nicole Walker,6,
270,President/Vice President,Green Party,BOULDER,Howie Hawkins / Angela Nicole Walker,697,
271,President/Vice President,Green Party,BROOMFIELD,Howie Hawkins / Angela Nicole Walker,104,
272,President/Vice President,Green Party,CHAFFEE,Howie Hawkins / Angela Nicole Walker,46,
273,President/Vice President,Green Party,CHEYENNE,Howie Hawkins / Angela Nicole Walker,0,
274,President/Vice President,Green Party,CLEAR CREEK,Howie Hawkins / Angela Nicole Walker,23,
275,President/Vice President,Green Party,CONEJOS,Howie Hawkins / Angela Nicole Walker,9,
276,President/Vice President,Green Party,COSTILLA,Howie Hawkins / Angela Nicole Walker,4,
277,President/Vice President,Green Party,CROWLEY,Howie Hawkins / Angela Nicole Walker,0,
278,President/Vice President,Green Party,CUSTER,Howie Hawkins / Angela Nicole Walker,5,
279,President/Vice President,Green Party,DELTA,Howie Hawkins / Angela Nicole Walker,45,
280,President/Vice President,Green Party,DENVER,Howie Hawkins / Angela Nicole Walker,"1,230",
281,President/Vice President,Green Party,DOLORES,Howie Hawkins / Angela Nicole Walker,1,
282,President/Vice President,Green Party,DOUGLAS,Howie Hawkins / Angela Nicole Walker,432,
283,President/Vice President,Green Party,EAGLE,Howie Hawkins / Angela Nicole Walker,78,
284,President/Vice President,Green Party,ELBERT,Howie Hawkins / Angela Nicole Walker,31,
285,President/Vice President,Green Party,EL PASO,Howie Hawkins / Angela Nicole Walker,"1,135",
286,President/Vice President,Green Party,FREMONT,Howie Hawkins / Angela Nicole Walker,59,
287,President/Vice President,Green Party,GARFIELD,Howie Hawkins / Angela Nicole Walker,99,
288,President/Vice President,Green Party,GILPIN,Howie Hawkins / Angela Nicole Walker,17,
289,President/Vice President,Green Party,GRAND,Howie Hawkins / Angela Nicole Walker,31,
290,President/Vice President,Green Party,GUNNISON,Howie Hawkins / Angela Nicole Walker,39,
291,President/Vice President,Green Party,HINSDALE,Howie Hawkins / Angela Nicole Walker,1,
292,President/Vice President,Green Party,HUERFANO,Howie Hawkins / Angela Nicole Walker,12,
293,President/Vice President,Green Party,JACKSON,Howie Hawkins / Angela Nicole Walker,2,
294,President/Vice President,Green Party,JEFFERSON,Howie Hawkins / Angela Nicole Walker,"1,089",
295,President/Vice President,Green Party,KIOWA,Howie Hawkins / Angela Nicole Walker,0,
296,President/Vice President,Green Party,KIT CARSON,Howie Hawkins / Angela Nicole Walker,2,
297,President/Vice President,Green Party,LAKE,Howie Hawkins / Angela Nicole Walker,23,
298,President/Vice President,Green Party,LA PLATA,Howie Hawkins / Angela Nicole Walker,128,
299,President/Vice President,Green Party,LARIMER,Howie Hawkins / Angela Nicole Walker,727,
300,President/Vice President,Green Party,LAS ANIMAS,Howie Hawkins / Angela Nicole Walker,17,
301,President/Vice President,Green Party,LINCOLN,Howie Hawkins / Angela Nicole Walker,1,
302,President/Vice President,Green Party,LOGAN,Howie Hawkins / Angela Nicole Walker,16,
303,President/Vice President,Green Party,MESA,Howie Hawkins / Angela Nicole Walker,188,
304,President/Vice President,Green Party,MINERAL,Howie Hawkins / Angela Nicole Walker,0,
305,President/Vice President,Green Party,MOFFAT,Howie Hawkins / Angela Nicole Walker,7,
306,President/Vice President,Green Party,MONTEZUMA,Howie Hawkins / Angela Nicole Walker,33,
307,President/Vice President,Green Party,MONTROSE,Howie Hawkins / Angela Nicole Walker,49,
308,President/Vice President,Green Party,MORGAN,Howie Hawkins / Angela Nicole Walker,26,
309,President/Vice President,Green Party,OTERO,Howie Hawkins / Angela Nicole Walker,16,
310,President/Vice President,Green Party,OURAY,Howie Hawkins / Angela Nicole Walker,12,
311,President/Vice President,Green Party,PARK,Howie Hawkins / Angela Nicole Walker,56,
312,President/Vice President,Green Party,PHILLIPS,Howie Hawkins / Angela Nicole Walker,7,
313,President/Vice President,Green Party,PITKIN,Howie Hawkins / Angela Nicole Walker,41,
314,President/Vice President,Green Party,PROWERS,Howie Hawkins / Angela Nicole Walker,9,
315,President/Vice President,Green Party,PUEBLO,Howie Hawkins / Angela Nicole Walker,205,
316,President/Vice President,Green Party,RIO BLANCO,Howie Hawkins / Angela Nicole Walker,3,
317,President/Vice President,Green Party,RIO GRANDE,Howie Hawkins / Angela Nicole Walker,11,
318,President/Vice President,Green Party,ROUTT,Howie Hawkins / Angela Nicole Walker,37,
319,President/Vice President,Green Party,SAGUACHE,Howie Hawkins / Angela Nicole Walker,13,
320,President/Vice President,Green Party,SAN JUAN,Howie Hawkins / Angela Nicole Walker,2,
321,President/Vice President,Green Party,SAN MIGUEL,Howie Hawkins / Angela Nicole Walker,14,
322,President/Vice President,Green Party,SEDGWICK,Howie Hawkins / Angela Nicole Walker,1,
323,President/Vice President,Green Party,SUMMIT,Howie Hawkins / Angela Nicole Walker,60,
324,President/Vice President,Green Party,TELLER,Howie Hawkins / Angela Nicole Walker,25,
325,President/Vice President,Green Party,WASHINGTON,Howie Hawkins / Angela Nicole Walker,5,
326,President/Vice President,Green Party,WELD,Howie Hawkins / Angela Nicole Walker,340,
327,President/Vice President,Green Party,YUMA,Howie Hawkins / Angela Nicole Walker,2,
328,President/Vice President,Green Party,,Howie Hawkins / Angela Nicole Walker Total Votes,"8,986",
329,President/Vice President,Green Party,,Howie Hawkins / Angela Nicole Walker Vote %,0.28%,
