,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
990,President/Vice President,Independent American Party,ADAMS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,102,
991,President/Vice President,Independent American Party,ALAMOSA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
992,President/Vice President,Independent American Party,ARAPAHOE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,94,
993,President/Vice President,Independent American Party,ARCHULETA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
994,President/Vice President,Independent American Party,BACA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
995,President/Vice President,Independent American Party,BENT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
996,President/Vice President,Independent American Party,BOULDER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,22,
997,President/Vice President,Independent American Party,BROOMFIELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,10,
998,President/Vice President,Independent American Party,CHAFFEE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
999,President/Vice President,Independent American Party,CHEYENNE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1000,President/Vice President,Independent American Party,CLEAR CREEK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1001,President/Vice President,Independent American Party,CONEJOS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1002,President/Vice President,Independent American Party,COSTILLA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1003,President/Vice President,Independent American Party,CROWLEY,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1004,President/Vice President,Independent American Party,CUSTER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1005,President/Vice President,Independent American Party,DELTA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,7,
1006,President/Vice President,Independent American Party,DENVER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,70,
1007,President/Vice President,Independent American Party,DOLORES,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1008,President/Vice President,Independent American Party,DOUGLAS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,38,
1009,President/Vice President,Independent American Party,EAGLE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,5,
1010,President/Vice President,Independent American Party,ELBERT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
1011,President/Vice President,Independent American Party,EL PASO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,87,
1012,President/Vice President,Independent American Party,FREMONT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,5,
1013,President/Vice President,Independent American Party,GARFIELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,8,
1014,President/Vice President,Independent American Party,GILPIN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1015,President/Vice President,Independent American Party,GRAND,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
1016,President/Vice President,Independent American Party,GUNNISON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1017,President/Vice President,Independent American Party,HINSDALE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1018,President/Vice President,Independent American Party,HUERFANO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1019,President/Vice President,Independent American Party,JACKSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1020,President/Vice President,Independent American Party,JEFFERSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,101,
1021,President/Vice President,Independent American Party,KIOWA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1022,President/Vice President,Independent American Party,KIT CARSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1023,President/Vice President,Independent American Party,LAKE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1024,President/Vice President,Independent American Party,LA PLATA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,9,
1025,President/Vice President,Independent American Party,LARIMER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,48,
1026,President/Vice President,Independent American Party,LAS ANIMAS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
1027,President/Vice President,Independent American Party,LINCOLN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
1028,President/Vice President,Independent American Party,LOGAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1029,President/Vice President,Independent American Party,MESA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,15,
1030,President/Vice President,Independent American Party,MINERAL,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1031,President/Vice President,Independent American Party,MOFFAT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1032,President/Vice President,Independent American Party,MONTEZUMA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
1033,President/Vice President,Independent American Party,MONTROSE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
1034,President/Vice President,Independent American Party,MORGAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
1035,President/Vice President,Independent American Party,OTERO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
1036,President/Vice President,Independent American Party,OURAY,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1037,President/Vice President,Independent American Party,PARK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
1038,President/Vice President,Independent American Party,PHILLIPS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1039,President/Vice President,Independent American Party,PITKIN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
1040,President/Vice President,Independent American Party,PROWERS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
1041,President/Vice President,Independent American Party,PUEBLO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,21,
1042,President/Vice President,Independent American Party,RIO BLANCO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1043,President/Vice President,Independent American Party,RIO GRANDE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
1044,President/Vice President,Independent American Party,ROUTT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1045,President/Vice President,Independent American Party,SAGUACHE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1046,President/Vice President,Independent American Party,SAN JUAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1047,President/Vice President,Independent American Party,SAN MIGUEL,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1048,President/Vice President,Independent American Party,SEDGWICK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1049,President/Vice President,Independent American Party,SUMMIT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
1050,President/Vice President,Independent American Party,TELLER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
1051,President/Vice President,Independent American Party,WASHINGTON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
1052,President/Vice President,Independent American Party,WELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,51,
1053,President/Vice President,Independent American Party,YUMA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
1054,President/Vice President,Independent American Party,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson Total Votes,762,
1055,President/Vice President,Independent American Party,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson Vote %,0.02%,
