,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
1386,President/Vice President,No Party Affiliation,ADAMS,Kasey Wells / Rachel Wells,0,
1387,President/Vice President,No Party Affiliation,ALAMOSA,Kasey Wells / Rachel Wells,0,
1388,President/Vice President,No Party Affiliation,ARAPAHOE,Kasey Wells / Rachel Wells,0,
1389,President/Vice President,No Party Affiliation,ARCHULETA,Kasey Wells / Rachel Wells,0,
1390,President/Vice President,No Party Affiliation,BACA,Kasey Wells / Rachel Wells,0,
1391,President/Vice President,No Party Affiliation,BENT,Kasey Wells / Rachel Wells,0,
1392,President/Vice President,No Party Affiliation,BOULDER,Kasey Wells / Rachel Wells,0,
1393,President/Vice President,No Party Affiliation,BROOMFIELD,Kasey Wells / Rachel Wells,0,
1394,President/Vice President,No Party Affiliation,CHAFFEE,Kasey Wells / Rachel Wells,0,
1395,President/Vice President,No Party Affiliation,CHEYENNE,Kasey Wells / Rachel Wells,0,
1396,President/Vice President,No Party Affiliation,CLEAR CREEK,Kasey Wells / Rachel Wells,0,
1397,President/Vice President,No Party Affiliation,CONEJOS,Kasey Wells / Rachel Wells,0,
1398,President/Vice President,No Party Affiliation,COSTILLA,Kasey Wells / Rachel Wells,0,
1399,President/Vice President,No Party Affiliation,CROWLEY,Kasey Wells / Rachel Wells,0,
1400,President/Vice President,No Party Affiliation,CUSTER,Kasey Wells / Rachel Wells,0,
1401,President/Vice President,No Party Affiliation,DELTA,Kasey Wells / Rachel Wells,0,
1402,President/Vice President,No Party Affiliation,DENVER,Kasey Wells / Rachel Wells,0,
1403,President/Vice President,No Party Affiliation,DOLORES,Kasey Wells / Rachel Wells,0,
1404,President/Vice President,No Party Affiliation,DOUGLAS,Kasey Wells / Rachel Wells,0,
1405,President/Vice President,No Party Affiliation,EAGLE,Kasey Wells / Rachel Wells,0,
1406,President/Vice President,No Party Affiliation,ELBERT,Kasey Wells / Rachel Wells,0,
1407,President/Vice President,No Party Affiliation,EL PASO,Kasey Wells / Rachel Wells,0,
1408,President/Vice President,No Party Affiliation,FREMONT,Kasey Wells / Rachel Wells,0,
1409,President/Vice President,No Party Affiliation,GARFIELD,Kasey Wells / Rachel Wells,0,
1410,President/Vice President,No Party Affiliation,GILPIN,Kasey Wells / Rachel Wells,0,
1411,President/Vice President,No Party Affiliation,GRAND,Kasey Wells / Rachel Wells,0,
1412,President/Vice President,No Party Affiliation,GUNNISON,Kasey Wells / Rachel Wells,0,
1413,President/Vice President,No Party Affiliation,HINSDALE,Kasey Wells / Rachel Wells,0,
1414,President/Vice President,No Party Affiliation,HUERFANO,Kasey Wells / Rachel Wells,0,
1415,President/Vice President,No Party Affiliation,JACKSON,Kasey Wells / Rachel Wells,0,
1416,President/Vice President,No Party Affiliation,JEFFERSON,Kasey Wells / Rachel Wells,0,
1417,President/Vice President,No Party Affiliation,KIOWA,Kasey Wells / Rachel Wells,0,
1418,President/Vice President,No Party Affiliation,KIT CARSON,Kasey Wells / Rachel Wells,0,
1419,President/Vice President,No Party Affiliation,LAKE,Kasey Wells / Rachel Wells,0,
1420,President/Vice President,No Party Affiliation,LA PLATA,Kasey Wells / Rachel Wells,0,
1421,President/Vice President,No Party Affiliation,LARIMER,Kasey Wells / Rachel Wells,0,
1422,President/Vice President,No Party Affiliation,LAS ANIMAS,Kasey Wells / Rachel Wells,0,
1423,President/Vice President,No Party Affiliation,LINCOLN,Kasey Wells / Rachel Wells,0,
1424,President/Vice President,No Party Affiliation,LOGAN,Kasey Wells / Rachel Wells,0,
1425,President/Vice President,No Party Affiliation,MESA,Kasey Wells / Rachel Wells,0,
1426,President/Vice President,No Party Affiliation,MINERAL,Kasey Wells / Rachel Wells,0,
1427,President/Vice President,No Party Affiliation,MOFFAT,Kasey Wells / Rachel Wells,0,
1428,President/Vice President,No Party Affiliation,MONTEZUMA,Kasey Wells / Rachel Wells,0,
1429,President/Vice President,No Party Affiliation,MONTROSE,Kasey Wells / Rachel Wells,0,
1430,President/Vice President,No Party Affiliation,MORGAN,Kasey Wells / Rachel Wells,0,
1431,President/Vice President,No Party Affiliation,OTERO,Kasey Wells / Rachel Wells,0,
1432,President/Vice President,No Party Affiliation,OURAY,Kasey Wells / Rachel Wells,0,
1433,President/Vice President,No Party Affiliation,PARK,Kasey Wells / Rachel Wells,0,
1434,President/Vice President,No Party Affiliation,PHILLIPS,Kasey Wells / Rachel Wells,0,
1435,President/Vice President,No Party Affiliation,PITKIN,Kasey Wells / Rachel Wells,0,
1436,President/Vice President,No Party Affiliation,PROWERS,Kasey Wells / Rachel Wells,0,
1437,President/Vice President,No Party Affiliation,PUEBLO,Kasey Wells / Rachel Wells,0,
1438,President/Vice President,No Party Affiliation,RIO BLANCO,Kasey Wells / Rachel Wells,0,
1439,President/Vice President,No Party Affiliation,RIO GRANDE,Kasey Wells / Rachel Wells,0,
