,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
726,President/Vice President,Progressive Party,ADAMS,Dario Hunter / Dawn Neptune Adams,38,
727,President/Vice President,Progressive Party,ALAMOSA,Dario Hunter / Dawn Neptune Adams,1,
728,President/Vice President,Progressive Party,ARAPAHOE,Dario Hunter / Dawn Neptune Adams,45,
729,President/Vice President,Progressive Party,ARCHULETA,Dario Hunter / Dawn Neptune Adams,0,
730,President/Vice President,Progressive Party,BACA,Dario Hunter / Dawn Neptune Adams,0,
731,President/Vice President,Progressive Party,BENT,Dario Hunter / Dawn Neptune Adams,0,
732,President/Vice President,Progressive Party,BOULDER,Dario Hunter / Dawn Neptune Adams,26,
733,President/Vice President,Progressive Party,BROOMFIELD,Dario Hunter / Dawn Neptune Adams,5,
734,President/Vice President,Progressive Party,CHAFFEE,Dario Hunter / Dawn Neptune Adams,1,
735,President/Vice President,Progressive Party,CHEYENNE,Dario Hunter / Dawn Neptune Adams,0,
736,President/Vice President,Progressive Party,CLEAR CREEK,Dario Hunter / Dawn Neptune Adams,5,
737,President/Vice President,Progressive Party,CONEJOS,Dario Hunter / Dawn Neptune Adams,0,
738,President/Vice President,Progressive Party,COSTILLA,Dario Hunter / Dawn Neptune Adams,1,
739,President/Vice President,Progressive Party,CROWLEY,Dario Hunter / Dawn Neptune Adams,0,
740,President/Vice President,Progressive Party,CUSTER,Dario Hunter / Dawn Neptune Adams,0,
741,President/Vice President,Progressive Party,DELTA,Dario Hunter / Dawn Neptune Adams,4,
742,President/Vice President,Progressive Party,DENVER,Dario Hunter / Dawn Neptune Adams,49,
743,President/Vice President,Progressive Party,DOLORES,Dario Hunter / Dawn Neptune Adams,0,
744,President/Vice President,Progressive Party,DOUGLAS,Dario Hunter / Dawn Neptune Adams,10,
745,President/Vice President,Progressive Party,EAGLE,Dario Hunter / Dawn Neptune Adams,3,
746,President/Vice President,Progressive Party,ELBERT,Dario Hunter / Dawn Neptune Adams,6,
747,President/Vice President,Progressive Party,EL PASO,Dario Hunter / Dawn Neptune Adams,47,
748,President/Vice President,Progressive Party,FREMONT,Dario Hunter / Dawn Neptune Adams,3,
749,President/Vice President,Progressive Party,GARFIELD,Dario Hunter / Dawn Neptune Adams,4,
750,President/Vice President,Progressive Party,GILPIN,Dario Hunter / Dawn Neptune Adams,1,
751,President/Vice President,Progressive Party,GRAND,Dario Hunter / Dawn Neptune Adams,3,
752,President/Vice President,Progressive Party,GUNNISON,Dario Hunter / Dawn Neptune Adams,3,
753,President/Vice President,Progressive Party,HINSDALE,Dario Hunter / Dawn Neptune Adams,0,
754,President/Vice President,Progressive Party,HUERFANO,Dario Hunter / Dawn Neptune Adams,0,
755,President/Vice President,Progressive Party,JACKSON,Dario Hunter / Dawn Neptune Adams,0,
756,President/Vice President,Progressive Party,JEFFERSON,Dario Hunter / Dawn Neptune Adams,35,
757,President/Vice President,Progressive Party,KIOWA,Dario Hunter / Dawn Neptune Adams,0,
758,President/Vice President,Progressive Party,KIT CARSON,Dario Hunter / Dawn Neptune Adams,0,
759,President/Vice President,Progressive Party,LAKE,Dario Hunter / Dawn Neptune Adams,3,
760,President/Vice President,Progressive Party,LA PLATA,Dario Hunter / Dawn Neptune Adams,2,
