,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
594,President/Vice President,Prohibition Party,ADAMS,Phil Collins / Billy Joe Parker,46,
595,President/Vice President,Prohibition Party,ALAMOSA,Phil Collins / Billy Joe Parker,2,
596,President/Vice President,Prohibition Party,ARAPAHOE,Phil Collins / Billy Joe Parker,63,
597,President/Vice President,Prohibition Party,ARCHULETA,Phil Collins / Billy Joe Parker,1,
598,President/Vice President,Prohibition Party,BACA,Phil Collins / Billy Joe Parker,1,
599,President/Vice President,Prohibition Party,BENT,Phil Collins / Billy Joe Parker,0,
600,President/Vice President,Prohibition Party,BOULDER,Phil Collins / Billy Joe Parker,19,
601,President/Vice President,Prohibition Party,BROOMFIELD,Phil Collins / Billy Joe Parker,6,
602,President/Vice President,Prohibition Party,CHAFFEE,Phil Collins / Billy Joe Parker,3,
603,President/Vice President,Prohibition Party,CHEYENNE,Phil Collins / Billy Joe Parker,0,
604,President/Vice President,Prohibition Party,CLEAR CREEK,Phil Collins / Billy Joe Parker,3,
605,President/Vice President,Prohibition Party,CONEJOS,Phil Collins / Billy Joe Parker,1,
606,President/Vice President,Prohibition Party,COSTILLA,Phil Collins / Billy Joe Parker,0,
607,President/Vice President,Prohibition Party,CROWLEY,Phil Collins / Billy Joe Parker,1,
608,President/Vice President,Prohibition Party,CUSTER,Phil Collins / Billy Joe Parker,1,
609,President/Vice President,Prohibition Party,DELTA,Phil Collins / Billy Joe Parker,5,
610,President/Vice President,Prohibition Party,DENVER,Phil Collins / Billy Joe Parker,63,
611,President/Vice President,Prohibition Party,DOLORES,Phil Collins / Billy Joe Parker,0,
612,President/Vice President,Prohibition Party,DOUGLAS,Phil Collins / Billy Joe Parker,21,
613,President/Vice President,Prohibition Party,EAGLE,Phil Collins / Billy Joe Parker,3,
614,President/Vice President,Prohibition Party,ELBERT,Phil Collins / Billy Joe Parker,3,
615,President/Vice President,Prohibition Party,EL PASO,Phil Collins / Billy Joe Parker,77,
616,President/Vice President,Prohibition Party,FREMONT,Phil Collins / Billy Joe Parker,11,
617,President/Vice President,Prohibition Party,GARFIELD,Phil Collins / Billy Joe Parker,5,
618,President/Vice President,Prohibition Party,GILPIN,Phil Collins / Billy Joe Parker,1,
619,President/Vice President,Prohibition Party,GRAND,Phil Collins / Billy Joe Parker,1,
620,President/Vice President,Prohibition Party,GUNNISON,Phil Collins / Billy Joe Parker,0,
621,President/Vice President,Prohibition Party,HINSDALE,Phil Collins / Billy Joe Parker,0,
622,President/Vice President,Prohibition Party,HUERFANO,Phil Collins / Billy Joe Parker,3,
623,President/Vice President,Prohibition Party,JACKSON,Phil Collins / Billy Joe Parker,0,
624,President/Vice President,Prohibition Party,JEFFERSON,Phil Collins / Billy Joe Parker,64,
625,President/Vice President,Prohibition Party,KIOWA,Phil Collins / Billy Joe Parker,0,
626,President/Vice President,Prohibition Party,KIT CARSON,Phil Collins / Billy Joe Parker,0,
627,President/Vice President,Prohibition Party,LAKE,Phil Collins / Billy Joe Parker,2,
628,President/Vice President,Prohibition Party,LA PLATA,Phil Collins / Billy Joe Parker,5,
629,President/Vice President,Prohibition Party,LARIMER,Phil Collins / Billy Joe Parker,36,
630,President/Vice President,Prohibition Party,LAS ANIMAS,Phil Collins / Billy Joe Parker,5,
631,President/Vice President,Prohibition Party,LINCOLN,Phil Collins / Billy Joe Parker,0,
632,President/Vice President,Prohibition Party,LOGAN,Phil Collins / Billy Joe Parker,4,
633,President/Vice President,Prohibition Party,MESA,Phil Collins / Billy Joe Parker,18,
634,President/Vice President,Prohibition Party,MINERAL,Phil Collins / Billy Joe Parker,1,
635,President/Vice President,Prohibition Party,MOFFAT,Phil Collins / Billy Joe Parker,1,
636,President/Vice President,Prohibition Party,MONTEZUMA,Phil Collins / Billy Joe Parker,3,
637,President/Vice President,Prohibition Party,MONTROSE,Phil Collins / Billy Joe Parker,3,
638,President/Vice President,Prohibition Party,MORGAN,Phil Collins / Billy Joe Parker,5,
639,President/Vice President,Prohibition Party,OTERO,Phil Collins / Billy Joe Parker,5,
640,President/Vice President,Prohibition Party,OURAY,Phil Collins / Billy Joe Parker,1,
641,President/Vice President,Prohibition Party,PARK,Phil Collins / Billy Joe Parker,4,
642,President/Vice President,Prohibition Party,PHILLIPS,Phil Collins / Billy Joe Parker,0,
643,President/Vice President,Prohibition Party,PITKIN,Phil Collins / Billy Joe Parker,0,
