,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
924,President/Vice President,Socialist Equality Party,ADAMS,Joseph Kishore / Norissa Santa Cruz,13,
925,President/Vice President,Socialist Equality Party,ALAMOSA,Joseph Kishore / Norissa Santa Cruz,2,
926,President/Vice President,Socialist Equality Party,ARAPAHOE,Joseph Kishore / Norissa Santa Cruz,25,
927,President/Vice President,Socialist Equality Party,ARCHULETA,Joseph Kishore / Norissa Santa Cruz,0,
928,President/Vice President,Socialist Equality Party,BACA,Joseph Kishore / Norissa Santa Cruz,0,
929,President/Vice President,Socialist Equality Party,BENT,Joseph Kishore / Norissa Santa Cruz,1,
930,President/Vice President,Socialist Equality Party,BOULDER,Joseph Kishore / Norissa Santa Cruz,12,
931,President/Vice President,Socialist Equality Party,BROOMFIELD,Joseph Kishore / Norissa Santa Cruz,1,
932,President/Vice President,Socialist Equality Party,CHAFFEE,Joseph Kishore / Norissa Santa Cruz,0,
933,President/Vice President,Socialist Equality Party,CHEYENNE,Joseph Kishore / Norissa Santa Cruz,0,
934,President/Vice President,Socialist Equality Party,CLEAR CREEK,Joseph Kishore / Norissa Santa Cruz,1,
935,President/Vice President,Socialist Equality Party,CONEJOS,Joseph Kishore / Norissa Santa Cruz,1,
936,President/Vice President,Socialist Equality Party,COSTILLA,Joseph Kishore / Norissa Santa Cruz,2,
937,President/Vice President,Socialist Equality Party,CROWLEY,Joseph Kishore / Norissa Santa Cruz,0,
938,President/Vice President,Socialist Equality Party,CUSTER,Joseph Kishore / Norissa Santa Cruz,0,
939,President/Vice President,Socialist Equality Party,DELTA,Joseph Kishore / Norissa Santa Cruz,1,
940,President/Vice President,Socialist Equality Party,DENVER,Joseph Kishore / Norissa Santa Cruz,39,
941,President/Vice President,Socialist Equality Party,DOLORES,Joseph Kishore / Norissa Santa Cruz,0,
942,President/Vice President,Socialist Equality Party,DOUGLAS,Joseph Kishore / Norissa Santa Cruz,5,
943,President/Vice President,Socialist Equality Party,EAGLE,Joseph Kishore / Norissa Santa Cruz,1,
944,President/Vice President,Socialist Equality Party,ELBERT,Joseph Kishore / Norissa Santa Cruz,0,
945,President/Vice President,Socialist Equality Party,EL PASO,Joseph Kishore / Norissa Santa Cruz,19,
