,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
1056,President/Vice President,Socialism and Liberation,ADAMS,Gloria La Riva / Sunil Freeman,90,
1057,President/Vice President,Socialism and Liberation,ALAMOSA,Gloria La Riva / Sunil Freeman,3,
1058,President/Vice President,Socialism and Liberation,ARAPAHOE,Gloria La Riva / Sunil Freeman,118,
1059,President/Vice President,Socialism and Liberation,ARCHULETA,Gloria La Riva / Sunil Freeman,2,
1060,President/Vice President,Socialism and Liberation,BACA,Gloria La Riva / Sunil Freeman,0,
1061,President/Vice President,Socialism and Liberation,BENT,Gloria La Riva / Sunil Freeman,0,
1062,President/Vice President,Socialism and Liberation,BOULDER,Gloria La Riva / Sunil Freeman,103,
1063,President/Vice President,Socialism and Liberation,BROOMFIELD,Gloria La Riva / Sunil Freeman,14,
1064,President/Vice President,Socialism and Liberation,CHAFFEE,Gloria La Riva / Sunil Freeman,2,
1065,President/Vice President,Socialism and Liberation,CHEYENNE,Gloria La Riva / Sunil Freeman,0,
1066,President/Vice President,Socialism and Liberation,CLEAR CREEK,Gloria La Riva / Sunil Freeman,2,
1067,President/Vice President,Socialism and Liberation,CONEJOS,Gloria La Riva / Sunil Freeman,2,
1068,President/Vice President,Socialism and Liberation,COSTILLA,Gloria La Riva / Sunil Freeman,1,
1069,President/Vice President,Socialism and Liberation,CROWLEY,Gloria La Riva / Sunil Freeman,0,
1070,President/Vice President,Socialism and Liberation,CUSTER,Gloria La Riva / Sunil Freeman,0,
1071,President/Vice President,Socialism and Liberation,DELTA,Gloria La Riva / Sunil Freeman,2,
1072,President/Vice President,Socialism and Liberation,DENVER,Gloria La Riva / Sunil Freeman,287,
1073,President/Vice President,Socialism and Liberation,DOLORES,Gloria La Riva / Sunil Freeman,0,
1074,President/Vice President,Socialism and Liberation,DOUGLAS,Gloria La Riva / Sunil Freeman,30,
1075,President/Vice President,Socialism and Liberation,EAGLE,Gloria La Riva / Sunil Freeman,3,
1076,President/Vice President,Socialism and Liberation,ELBERT,Gloria La Riva / Sunil Freeman,4,
1077,President/Vice President,Socialism and Liberation,EL PASO,Gloria La Riva / Sunil Freeman,90,
1078,President/Vice President,Socialism and Liberation,FREMONT,Gloria La Riva / Sunil Freeman,5,
1079,President/Vice President,Socialism and Liberation,GARFIELD,Gloria La Riva / Sunil Freeman,3,
1080,President/Vice President,Socialism and Liberation,GILPIN,Gloria La Riva / Sunil Freeman,1,
1081,President/Vice President,Socialism and Liberation,GRAND,Gloria La Riva / Sunil Freeman,0,
1082,President/Vice President,Socialism and Liberation,GUNNISON,Gloria La Riva / Sunil Freeman,1,
1083,President/Vice President,Socialism and Liberation,HINSDALE,Gloria La Riva / Sunil Freeman,0,
1084,President/Vice President,Socialism and Liberation,HUERFANO,Gloria La Riva / Sunil Freeman,2,
1085,President/Vice President,Socialism and Liberation,JACKSON,Gloria La Riva / Sunil Freeman,0,
1086,President/Vice President,Socialism and Liberation,JEFFERSON,Gloria La Riva / Sunil Freeman,84,
1087,President/Vice President,Socialism and Liberation,KIOWA,Gloria La Riva / Sunil Freeman,0,
1088,President/Vice President,Socialism and Liberation,KIT CARSON,Gloria La Riva / Sunil Freeman,0,
1089,President/Vice President,Socialism and Liberation,LAKE,Gloria La Riva / Sunil Freeman,1,
1090,President/Vice President,Socialism and Liberation,LA PLATA,Gloria La Riva / Sunil Freeman,5,
1091,President/Vice President,Socialism and Liberation,LARIMER,Gloria La Riva / Sunil Freeman,60,
1092,President/Vice President,Socialism and Liberation,LAS ANIMAS,Gloria La Riva / Sunil Freeman,1,
1093,President/Vice President,Socialism and Liberation,LINCOLN,Gloria La Riva / Sunil Freeman,0,
1094,President/Vice President,Socialism and Liberation,LOGAN,Gloria La Riva / Sunil Freeman,1,
1095,President/Vice President,Socialism and Liberation,MESA,Gloria La Riva / Sunil Freeman,15,
1096,President/Vice President,Socialism and Liberation,MINERAL,Gloria La Riva / Sunil Freeman,0,
1097,President/Vice President,Socialism and Liberation,MOFFAT,Gloria La Riva / Sunil Freeman,0,
1098,President/Vice President,Socialism and Liberation,MONTEZUMA,Gloria La Riva / Sunil Freeman,2,
1099,President/Vice President,Socialism and Liberation,MONTROSE,Gloria La Riva / Sunil Freeman,2,
1100,President/Vice President,Socialism and Liberation,MORGAN,Gloria La Riva / Sunil Freeman,2,
1101,President/Vice President,Socialism and Liberation,OTERO,Gloria La Riva / Sunil Freeman,2,
1102,President/Vice President,Socialism and Liberation,OURAY,Gloria La Riva / Sunil Freeman,3,
1103,President/Vice President,Socialism and Liberation,PARK,Gloria La Riva / Sunil Freeman,1,
1104,President/Vice President,Socialism and Liberation,PHILLIPS,Gloria La Riva / Sunil Freeman,0,
1105,President/Vice President,Socialism and Liberation,PITKIN,Gloria La Riva / Sunil Freeman,0,
1106,President/Vice President,Socialism and Liberation,PROWERS,Gloria La Riva / Sunil Freeman,1,
1107,President/Vice President,Socialism and Liberation,PUEBLO,Gloria La Riva / Sunil Freeman,32,
1108,President/Vice President,Socialism and Liberation,RIO BLANCO,Gloria La Riva / Sunil Freeman,0,
1109,President/Vice President,Socialism and Liberation,RIO GRANDE,Gloria La Riva / Sunil Freeman,4,
1110,President/Vice President,Socialism and Liberation,ROUTT,Gloria La Riva / Sunil Freeman,2,
1111,President/Vice President,Socialism and Liberation,SAGUACHE,Gloria La Riva / Sunil Freeman,1,
1112,President/Vice President,Socialism and Liberation,SAN JUAN,Gloria La Riva / Sunil Freeman,1,
1113,President/Vice President,Socialism and Liberation,SAN MIGUEL,Gloria La Riva / Sunil Freeman,1,
1114,President/Vice President,Socialism and Liberation,SEDGWICK,Gloria La Riva / Sunil Freeman,0,
1115,President/Vice President,Socialism and Liberation,SUMMIT,Gloria La Riva / Sunil Freeman,3,
1116,President/Vice President,Socialism and Liberation,TELLER,Gloria La Riva / Sunil Freeman,2,
1117,President/Vice President,Socialism and Liberation,WASHINGTON,Gloria La Riva / Sunil Freeman,0,
1118,President/Vice President,Socialism and Liberation,WELD,Gloria La Riva / Sunil Freeman,44,
1119,President/Vice President,Socialism and Liberation,YUMA,Gloria La Riva / Sunil Freeman,0,
1120,President/Vice President,Socialism and Liberation,,Gloria La Riva / Sunil Freeman Total Votes,"1,035",
1121,President/Vice President,Socialism and Liberation,,Gloria La Riva / Sunil Freeman Vote %,0.03%,
