,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
528,President/Vice President,Unaffiliated,ADAMS,Mark Charles / Adrian Wallace,197,
529,President/Vice President,Unaffiliated,ALAMOSA,Mark Charles / Adrian Wallace,11,
530,President/Vice President,Unaffiliated,ARAPAHOE,Mark Charles / Adrian Wallace,189,
531,President/Vice President,Unaffiliated,ARCHULETA,Mark Charles / Adrian Wallace,6,
532,President/Vice President,Unaffiliated,BACA,Mark Charles / Adrian Wallace,0,
533,President/Vice President,Unaffiliated,BENT,Mark Charles / Adrian Wallace,0,
534,President/Vice President,Unaffiliated,BOULDER,Mark Charles / Adrian Wallace,75,
535,President/Vice President,Unaffiliated,BROOMFIELD,Mark Charles / Adrian Wallace,23,
536,President/Vice President,Unaffiliated,CHAFFEE,Mark Charles / Adrian Wallace,11,
537,President/Vice President,Unaffiliated,CHEYENNE,Mark Charles / Adrian Wallace,0,
538,President/Vice President,Unaffiliated,CLEAR CREEK,Mark Charles / Adrian Wallace,7,
539,President/Vice President,Unaffiliated,CONEJOS,Mark Charles / Adrian Wallace,5,
540,President/Vice President,Unaffiliated,COSTILLA,Mark Charles / Adrian Wallace,2,
541,President/Vice President,Unaffiliated,CROWLEY,Mark Charles / Adrian Wallace,2,
542,President/Vice President,Unaffiliated,CUSTER,Mark Charles / Adrian Wallace,1,
543,President/Vice President,Unaffiliated,DELTA,Mark Charles / Adrian Wallace,12,
544,President/Vice President,Unaffiliated,DENVER,Mark Charles / Adrian Wallace,181,
545,President/Vice President,Unaffiliated,DOLORES,Mark Charles / Adrian Wallace,2,
546,President/Vice President,Unaffiliated,DOUGLAS,Mark Charles / Adrian Wallace,76,
547,President/Vice President,Unaffiliated,EAGLE,Mark Charles / Adrian Wallace,16,
548,President/Vice President,Unaffiliated,ELBERT,Mark Charles / Adrian Wallace,11,
549,President/Vice President,Unaffiliated,EL PASO,Mark Charles / Adrian Wallace,299,
550,President/Vice President,Unaffiliated,FREMONT,Mark Charles / Adrian Wallace,24,
551,President/Vice President,Unaffiliated,GARFIELD,Mark Charles / Adrian Wallace,21,
552,President/Vice President,Unaffiliated,GILPIN,Mark Charles / Adrian Wallace,9,
553,President/Vice President,Unaffiliated,GRAND,Mark Charles / Adrian Wallace,5,
554,President/Vice President,Unaffiliated,GUNNISON,Mark Charles / Adrian Wallace,8,
555,President/Vice President,Unaffiliated,HINSDALE,Mark Charles / Adrian Wallace,1,
556,President/Vice President,Unaffiliated,HUERFANO,Mark Charles / Adrian Wallace,5,
557,President/Vice President,Unaffiliated,JACKSON,Mark Charles / Adrian Wallace,1,
558,President/Vice President,Unaffiliated,JEFFERSON,Mark Charles / Adrian Wallace,231,
559,President/Vice President,Unaffiliated,KIOWA,Mark Charles / Adrian Wallace,0,
560,President/Vice President,Unaffiliated,KIT CARSON,Mark Charles / Adrian Wallace,1,
561,President/Vice President,Unaffiliated,LAKE,Mark Charles / Adrian Wallace,0,
562,President/Vice President,Unaffiliated,LA PLATA,Mark Charles / Adrian Wallace,29,
563,President/Vice President,Unaffiliated,LARIMER,Mark Charles / Adrian Wallace,136,
564,President/Vice President,Unaffiliated,LAS ANIMAS,Mark Charles / Adrian Wallace,7,
565,President/Vice President,Unaffiliated,LINCOLN,Mark Charles / Adrian Wallace,3,
566,President/Vice President,Unaffiliated,LOGAN,Mark Charles / Adrian Wallace,9,
567,President/Vice President,Unaffiliated,MESA,Mark Charles / Adrian Wallace,58,
568,President/Vice President,Unaffiliated,MINERAL,Mark Charles / Adrian Wallace,0,
569,President/Vice President,Unaffiliated,MOFFAT,Mark Charles / Adrian Wallace,7,
570,President/Vice President,Unaffiliated,MONTEZUMA,Mark Charles / Adrian Wallace,18,
571,President/Vice President,Unaffiliated,MONTROSE,Mark Charles / Adrian Wallace,8,
572,President/Vice President,Unaffiliated,MORGAN,Mark Charles / Adrian Wallace,11,
573,President/Vice President,Unaffiliated,OTERO,Mark Charles / Adrian Wallace,14,
574,President/Vice President,Unaffiliated,OURAY,Mark Charles / Adrian Wallace,0,
575,President/Vice President,Unaffiliated,PARK,Mark Charles / Adrian Wallace,12,
576,President/Vice President,Unaffiliated,PHILLIPS,Mark Charles / Adrian Wallace,1,
577,President/Vice President,Unaffiliated,PITKIN,Mark Charles / Adrian Wallace,3,
578,President/Vice President,Unaffiliated,PROWERS,Mark Charles / Adrian Wallace,3,
579,President/Vice President,Unaffiliated,PUEBLO,Mark Charles / Adrian Wallace,71,
580,President/Vice President,Unaffiliated,RIO BLANCO,Mark Charles / Adrian Wallace,3,
581,President/Vice President,Unaffiliated,RIO GRANDE,Mark Charles / Adrian Wallace,11,
582,President/Vice President,Unaffiliated,ROUTT,Mark Charles / Adrian Wallace,13,
583,President/Vice President,Unaffiliated,SAGUACHE,Mark Charles / Adrian Wallace,6,
584,President/Vice President,Unaffiliated,SAN JUAN,Mark Charles / Adrian Wallace,2,
585,President/Vice President,Unaffiliated,SAN MIGUEL,Mark Charles / Adrian Wallace,2,
586,President/Vice President,Unaffiliated,SEDGWICK,Mark Charles / Adrian Wallace,2,
587,President/Vice President,Unaffiliated,SUMMIT,Mark Charles / Adrian Wallace,13,
588,President/Vice President,Unaffiliated,TELLER,Mark Charles / Adrian Wallace,10,
589,President/Vice President,Unaffiliated,WASHINGTON,Mark Charles / Adrian Wallace,2,
590,President/Vice President,Unaffiliated,WELD,Mark Charles / Adrian Wallace,120,
591,President/Vice President,Unaffiliated,YUMA,Mark Charles / Adrian Wallace,5,
592,President/Vice President,Unaffiliated,,Mark Charles / Adrian Wallace Total Votes,"2,011",
593,President/Vice President,Unaffiliated,,Mark Charles / Adrian Wallace Vote %,0.06%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
