,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
1518,President/Vice President,Unaffiliated / No Party Affiliation,ADAMS,Tom Hoefling / Andy Prior,4,
1519,President/Vice President,Unaffiliated / No Party Affiliation,ALAMOSA,Tom Hoefling / Andy Prior,0,
1520,President/Vice President,Unaffiliated / No Party Affiliation,ARAPAHOE,Tom Hoefling / Andy Prior,0,
1521,President/Vice President,Unaffiliated / No Party Affiliation,ARCHULETA,Tom Hoefling / Andy Prior,0,
1522,President/Vice President,Unaffiliated / No Party Affiliation,BACA,Tom Hoefling / Andy Prior,0,
1523,President/Vice President,Unaffiliated / No Party Affiliation,BENT,Tom Hoefling / Andy Prior,0,
1524,President/Vice President,Unaffiliated / No Party Affiliation,BOULDER,Tom Hoefling / Andy Prior,0,
1525,President/Vice President,Unaffiliated / No Party Affiliation,BROOMFIELD,Tom Hoefling / Andy Prior,0,
1526,President/Vice President,Unaffiliated / No Party Affiliation,CHAFFEE,Tom Hoefling / Andy Prior,1,
1527,President/Vice President,Unaffiliated / No Party Affiliation,CHEYENNE,Tom Hoefling / Andy Prior,0,
1528,President/Vice President,Unaffiliated / No Party Affiliation,CLEAR CREEK,Tom Hoefling / Andy Prior,0,
1529,President/Vice President,Unaffiliated / No Party Affiliation,CONEJOS,Tom Hoefling / Andy Prior,0,
1530,President/Vice President,Unaffiliated / No Party Affiliation,COSTILLA,Tom Hoefling / Andy Prior,0,
1531,President/Vice President,Unaffiliated / No Party Affiliation,CROWLEY,Tom Hoefling / Andy Prior,0,
1532,President/Vice President,Unaffiliated / No Party Affiliation,CUSTER,Tom Hoefling / Andy Prior,1,
1533,President/Vice President,Unaffiliated / No Party Affiliation,DELTA,Tom Hoefling / Andy Prior,0,
1534,President/Vice President,Unaffiliated / No Party Affiliation,DENVER,Tom Hoefling / Andy Prior,2,
1535,President/Vice President,Unaffiliated / No Party Affiliation,DOLORES,Tom Hoefling / Andy Prior,0,
1536,President/Vice President,Unaffiliated / No Party Affiliation,DOUGLAS,Tom Hoefling / Andy Prior,4,
1537,President/Vice President,Unaffiliated / No Party Affiliation,EAGLE,Tom Hoefling / Andy Prior,0,
1538,President/Vice President,Unaffiliated / No Party Affiliation,ELBERT,Tom Hoefling / Andy Prior,0,
1539,President/Vice President,Unaffiliated / No Party Affiliation,EL PASO,Tom Hoefling / Andy Prior,2,
1540,President/Vice President,Unaffiliated / No Party Affiliation,FREMONT,Tom Hoefling / Andy Prior,0,
1541,President/Vice President,Unaffiliated / No Party Affiliation,GARFIELD,Tom Hoefling / Andy Prior,0,
1542,President/Vice President,Unaffiliated / No Party Affiliation,GILPIN,Tom Hoefling / Andy Prior,0,
1543,President/Vice President,Unaffiliated / No Party Affiliation,GRAND,Tom Hoefling / Andy Prior,0,
1544,President/Vice President,Unaffiliated / No Party Affiliation,GUNNISON,Tom Hoefling / Andy Prior,0,
1545,President/Vice President,Unaffiliated / No Party Affiliation,HINSDALE,Tom Hoefling / Andy Prior,0,
1546,President/Vice President,Unaffiliated / No Party Affiliation,HUERFANO,Tom Hoefling / Andy Prior,0,
1547,President/Vice President,Unaffiliated / No Party Affiliation,JACKSON,Tom Hoefling / Andy Prior,0,
1548,President/Vice President,Unaffiliated / No Party Affiliation,JEFFERSON,Tom Hoefling / Andy Prior,1,
1549,President/Vice President,Unaffiliated / No Party Affiliation,KIOWA,Tom Hoefling / Andy Prior,0,
1550,President/Vice President,Unaffiliated / No Party Affiliation,KIT CARSON,Tom Hoefling / Andy Prior,0,
1551,President/Vice President,Unaffiliated / No Party Affiliation,LAKE,Tom Hoefling / Andy Prior,0,
