,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
198,President/Vice President,Unity Party of Colorado,ADAMS,Bill Hammons / Eric Bodenstab,264,
199,President/Vice President,Unity Party of Colorado,ALAMOSA,Bill Hammons / Eric Bodenstab,6,
200,President/Vice President,Unity Party of Colorado,ARAPAHOE,Bill Hammons / Eric Bodenstab,328,
201,President/Vice President,Unity Party of Colorado,ARCHULETA,Bill Hammons / Eric Bodenstab,9,
202,President/Vice President,Unity Party of Colorado,BACA,Bill Hammons / Eric Bodenstab,0,
203,President/Vice President,Unity Party of Colorado,BENT,Bill Hammons / Eric Bodenstab,0,
204,President/Vice President,Unity Party of Colorado,BOULDER,Bill Hammons / Eric Bodenstab,122,
205,President/Vice President,Unity Party of Colorado,BROOMFIELD,Bill Hammons / Eric Bodenstab,46,
206,President/Vice President,Unity Party of Colorado,CHAFFEE,Bill Hammons / Eric Bodenstab,10,
207,President/Vice President,Unity Party of Colorado,CHEYENNE,Bill Hammons / Eric Bodenstab,0,
208,President/Vice President,Unity Party of Colorado,CLEAR CREEK,Bill Hammons / Eric Bodenstab,3,
209,President/Vice President,Unity Party of Colorado,CONEJOS,Bill Hammons / Eric Bodenstab,1,
210,President/Vice President,Unity Party of Colorado,COSTILLA,Bill Hammons / Eric Bodenstab,2,
211,President/Vice President,Unity Party of Colorado,CROWLEY,Bill Hammons / Eric Bodenstab,3,
212,President/Vice President,Unity Party of Colorado,CUSTER,Bill Hammons / Eric Bodenstab,4,
213,President/Vice President,Unity Party of Colorado,DELTA,Bill Hammons / Eric Bodenstab,11,
214,President/Vice President,Unity Party of Colorado,DENVER,Bill Hammons / Eric Bodenstab,222,
215,President/Vice President,Unity Party of Colorado,DOLORES,Bill Hammons / Eric Bodenstab,1,
216,President/Vice President,Unity Party of Colorado,DOUGLAS,Bill Hammons / Eric Bodenstab,209,
217,President/Vice President,Unity Party of Colorado,EAGLE,Bill Hammons / Eric Bodenstab,32,
218,President/Vice President,Unity Party of Colorado,ELBERT,Bill Hammons / Eric Bodenstab,15,
219,President/Vice President,Unity Party of Colorado,EL PASO,Bill Hammons / Eric Bodenstab,360,
220,President/Vice President,Unity Party of Colorado,FREMONT,Bill Hammons / Eric Bodenstab,22,
221,President/Vice President,Unity Party of Colorado,GARFIELD,Bill Hammons / Eric Bodenstab,26,
222,President/Vice President,Unity Party of Colorado,GILPIN,Bill Hammons / Eric Bodenstab,2,
223,President/Vice President,Unity Party of Colorado,GRAND,Bill Hammons / Eric Bodenstab,4,
224,President/Vice President,Unity Party of Colorado,GUNNISON,Bill Hammons / Eric Bodenstab,7,
225,President/Vice President,Unity Party of Colorado,HINSDALE,Bill Hammons / Eric Bodenstab,0,
226,President/Vice President,Unity Party of Colorado,HUERFANO,Bill Hammons / Eric Bodenstab,2,
227,President/Vice President,Unity Party of Colorado,JACKSON,Bill Hammons / Eric Bodenstab,1,
228,President/Vice President,Unity Party of Colorado,JEFFERSON,Bill Hammons / Eric Bodenstab,318,
229,President/Vice President,Unity Party of Colorado,KIOWA,Bill Hammons / Eric Bodenstab,0,
230,President/Vice President,Unity Party of Colorado,KIT CARSON,Bill Hammons / Eric Bodenstab,2,
231,President/Vice President,Unity Party of Colorado,LAKE,Bill Hammons / Eric Bodenstab,4,
232,President/Vice President,Unity Party of Colorado,LA PLATA,Bill Hammons / Eric Bodenstab,23,
