,Office/Ballot Issue,ACP,County,Candidate_ACP,ACPVotes,Total_Votes_ACP,UPC,Candidate_UPC,UPCVotes,Total_Votes_UPC,GREEN,Candidate_Green,GreenVotes,Total_Votes_Green,AVP,Candidate_AVP,AVPVotes,Total_Votes_AVP,LIB,Candidate_Lib,LibVotes,Total_Lib_Votes
132,President/Vice President,American Constitution Party,ADAMS,Don Blankenship / William Mohr,455,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,264,2730,Green Party,Howie Hawkins / Angela Nicole Walker,744,8986,Approval Voting Party,Blake Huber / Frank Atwood,37,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3731,52460
133,President/Vice President,American Constitution Party,ALAMOSA,Don Blankenship / William Mohr,22,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,6,2730,Green Party,Howie Hawkins / Angela Nicole Walker,23,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",90,52460
134,President/Vice President,American Constitution Party,ARAPAHOE,Don Blankenship / William Mohr,503,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,328,2730,Green Party,Howie Hawkins / Angela Nicole Walker,926,8986,Approval Voting Party,Blake Huber / Frank Atwood,41,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",5423,52460
135,President/Vice President,American Constitution Party,ARCHULETA,Don Blankenship / William Mohr,20,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,9,2730,Green Party,Howie Hawkins / Angela Nicole Walker,19,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",120,52460
136,President/Vice President,American Constitution Party,BACA,Don Blankenship / William Mohr,2,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,3,8986,Approval Voting Party,Blake Huber / Frank Atwood,2,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",26,52460
137,President/Vice President,American Constitution Party,BENT,Don Blankenship / William Mohr,5,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,6,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",15,52460
138,President/Vice President,American Constitution Party,BOULDER,Don Blankenship / William Mohr,219,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,122,2730,Green Party,Howie Hawkins / Angela Nicole Walker,697,8986,Approval Voting Party,Blake Huber / Frank Atwood,22,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",2539,52460
139,President/Vice President,American Constitution Party,BROOMFIELD,Don Blankenship / William Mohr,74,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,46,2730,Green Party,Howie Hawkins / Angela Nicole Walker,104,8986,Approval Voting Party,Blake Huber / Frank Atwood,2,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",772,52460
140,President/Vice President,American Constitution Party,CHAFFEE,Don Blankenship / William Mohr,20,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,10,2730,Green Party,Howie Hawkins / Angela Nicole Walker,46,8986,Approval Voting Party,Blake Huber / Frank Atwood,2,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",189,52460
141,President/Vice President,American Constitution Party,CHEYENNE,Don Blankenship / William Mohr,3,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,0,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",6,52460
